FileName;chloroparaffin 50p cl_94
MeasName;94
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-07T21:15:30Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;3.44567025226577e-07;4.516524581817393e-07;6.095826886378253e-07;7.695368449122148e-07;9.002161744536735e-07;9.813384061785736e-07;9.82793931523028e-07;9.340820429257826e-07;8.489916755641192e-07;7.681606258064411e-07;7.069947078781531e-07;6.574261208540462e-07;6.333340119819186e-07;6.44967960596016e-07;6.690117253208156e-07;6.885657963799467e-07;7.064876966896496e-07;7.211628915162652e-07;7.271923110763015e-07;7.809637476465641e-07;8.151748893123941e-07;8.51571573051115e-07;8.713318337950742e-07;9.063212591972634e-07;9.46483378509759e-07;9.772039270349283e-07;1.0021432764413996e-06;1.0324625905202075e-06;1.054976410323733e-06;1.0492216451122466e-06;1.012464415182023e-06;9.494261061218302e-07;8.656811265469858e-07;7.647356516568879e-07;6.59798598417452e-07;5.47137287928071e-07;4.7509150900773894e-07;5.581766041528256e-07;8.796364391856197e-07;1.872901225250276e-06;6.110495734082256e-06;1.893167272872166e-05;5.015529189571629e-05;0.0001163113000754;0.0002337620061727;0.0004152018657834;0.0006667535740063;0.000982877341977;0.0013475015595475;0.0017385461876498;0.0021266009824817;0.0024763974433199;0.0027531702162257;0.0029360025012625;0.0030146749420223;0.0029931065568141;0.0028825223208896;0.0027008183057849;0.0024696515153762;0.0022132615927593;0.0019554970911101;0.0017142711729199;0.001499580142205;0.0013171294677637;0.0011679430142848;0.0010506107227388;0.0009613812746287;0.0008946499433221;0.0008452756446641;0.0008084088119405;0.000779751602331;0.0007554495210536;0.000734141169773;0.00071544611432;0.0006988439664999;0.0006841953191727;0.0006712886358154;0.0006594835582931;0.0006478670780769;0.0006357921587312;0.0006229284708752;0.0006091713392689;0.0005950476332525;0.0005816718667093;0.0005702060085946;0.0005612747909021;0.0005548659856771;0.0005506106370015;0.0005471914891866;0.0005436322185929;0.0005395252513055;0.0005345989700473;0.0005291144153615;0.000523326418285;0.000517482040478;0.0005122487309622;0.0005076487759004;0.0005037881478529;0.0005006484925568;0.0004981554804751
129.18959229751636;7.070507273557651e-07;7.165454879915323e-07;7.749223754964212e-07;8.535464102349214e-07;9.028989043520008e-07;8.970257200245292e-07;8.60069609503199e-07;7.925018168872439e-07;7.291524841914999e-07;7.263856429014812e-07;7.880023066993749e-07;8.506137741902194e-07;9.333237469071526e-07;1.0350428996451576e-06;1.0992672357715048e-06;1.107993804800852e-06;1.0692448854003018e-06;9.675675072212935e-07;7.958290446834214e-07;6.142709762706221e-07;4.865423840337747e-07;4.031065787231775e-07;3.511348048216099e-07;3.426965770742686e-07;3.915131846185751e-07;4.420747225753239e-07;4.82530951923296e-07;4.989001647375992e-07;5.167863126906747e-07;5.162079174014659e-07;4.91099392678722e-07;4.399294990483394e-07;3.6834708960189596e-07;2.814517772432563e-07;2.3535152851368534e-07;2.3167282748008225e-07;2.8528034383317146e-07;4.512761796314928e-07;8.018072480881719e-07;1.6060013094394902e-06;5.093860114107591e-06;1.6374553621623855e-05;4.487739043354568e-05;0.0001075557232229;0.0002212716050027;0.0003986449043125;0.0006445466188792;0.0009526517143344;0.0013071423680674;0.0016875694564287;0.0020647495368751;0.0024032374371561;0.0026698128892492;0.0028453870272162;0.0029204824662611;0.0028993158033766;0.0027930460538553;0.0026192467258282;0.0023987850840662;0.0021548475627391;0.0019097719899903;0.0016794873308265;0.0014735978155336;0.0012986149276151;0.0011557874014502;0.0010437668370076;0.0009586131350772;0.0008947028013138;0.0008470278789994;0.0008106889788457;0.0007812618275964;0.0007553755945828;0.0007321530190469;0.0007116121637763;0.0006937571373513;0.0006786237070489;0.0006658405093637;0.0006547511990701;0.0006444022813232;0.0006337393824893;0.000622023337923;0.0006088186158407;0.0005946218732934;0.0005806297526212;0.0005681672877932;0.0005581783106181;0.0005508588265337;0.0005455780200817;0.0005409183669674;0.0005356445718661;0.0005292893215287;0.0005221962224241;0.0005153106184437;0.0005084446994604;0.0005020550013143;0.0004965140640302;0.0004920786886517;0.000488846770801;0.0004867004373558;0.0004853573290389
131.33142972264977;9.202370649875708e-07;9.421679689777356e-07;9.50364371298461e-07;9.344100552019196e-07;8.785899351072912e-07;7.838524765249398e-07;6.568140491105868e-07;5.222821364496431e-07;4.284346024149169e-07;4.265372399647826e-07;4.703763057725911e-07;5.389362466308154e-07;6.171427449023743e-07;6.985502124125057e-07;7.605453650025079e-07;7.843605428830351e-07;7.661982339580599e-07;7.05096218382735e-07;6.023876799896535e-07;4.560796645446645e-07;3.851039547269488e-07;3.591326209713678e-07;3.792220828967386e-07;4.308363916563972e-07;5.223492122264173e-07;6.110677203337885e-07;6.711211666287685e-07;6.975339636122076e-07;6.768582111370215e-07;6.312441968783077e-07;5.588784970733224e-07;4.670985548233653e-07;3.717874144306408e-07;3.198722086212673e-07;3.025011931509123e-07;3.1723481765330745e-07;3.566984666429685e-07;4.43562774104641e-07;6.528640121191195e-07;1.268119192642933e-06;4.422090979396572e-06;1.5590899437878003e-05;4.379661297904782e-05;0.0001031820278264;0.0002098725723515;0.0003778776038826;0.0006111900248978;0.000907450206876;0.0012524536434028;0.0016273033947398;0.0020012699415298;0.0023393571833231;0.0026085601641282;0.0027875272477244;0.002864433680043;0.0028428594910014;0.0027342236273327;0.0025586689929878;0.0023382484558509;0.0020975844221968;0.0018578170726886;0.001634157615894;0.00143538859746;0.0012671372028159;0.001129677081893;0.0010214987560509;0.000938200412439;0.0008752076743902;0.0008281209990296;0.0007923165881933;0.0007639705132919;0.0007402076868186;0.0007194540066702;0.0007008067107683;0.0006848615471563;0.0006711693665293;0.0006587236920626;0.0006473427244083;0.0006360147581858;0.0006241731657301;0.0006116992332889;0.0005990789652405;0.000586692933007;0.0005747981546778;0.0005641003068145;0.0005548478588029;0.0005468660061618;0.000539846760179;0.0005329786114319;0.0005257344447713;0.0005179971816218;0.0005098734429482;0.0005018436126235;0.0004944829627053;0.0004882332892713;0.0004833304560223;0.0004798842226883;0.0004778869141349;0.000477066119655;0.000476915603277
133.47260691138217;7.490037714990917e-07;8.247062818216384e-07;8.550296412291649e-07;8.398290349978915e-07;7.960223730181824e-07;7.09934832266086e-07;5.74103242524677e-07;4.37299240404244e-07;3.281721863629591e-07;2.586981446853695e-07;2.3162096220976e-07;2.434962534141108e-07;2.5368806824333226e-07;2.567987255185885e-07;2.5867623223610654e-07;2.575994909252821e-07;2.5754592153231584e-07;2.6709009290346213e-07;2.8727474951338294e-07;3.109776814192359e-07;3.355467053146757e-07;3.634805371067099e-07;4.166989635737743e-07;5.043350284741504e-07;5.996145309671004e-07;6.66035244351975e-07;6.925301759662075e-07;6.801079675209312e-07;6.370267819719487e-07;5.657499901542653e-07;4.729678346022852e-07;3.924917217107825e-07;3.6070656833040224e-07;3.912986649728966e-07;4.3431629031594274e-07;4.818345625268338e-07;5.110479654728895e-07;5.176577669462705e-07;5.449244705098173e-07;1.0806707597766856e-06;4.347023295319613e-06;1.5392813603807835e-05;4.366443577739997e-05;0.000102768033376;0.0002069628340334;0.000367939920213;0.0005905245253501;0.0008736335522997;0.0012071802031275;0.0015726097391113;0.0019374874365721;0.0022665470754062;0.002528863236025;0.0027041403164657;0.0027804425393883;0.0027602295738145;0.002653788208549;0.0024815982498796;0.0022667893935151;0.0020351281136861;0.0018058564758517;0.0015919684250247;0.0014011810677678;0.00123879429768;0.0011052682247012;0.0009988702861119;0.0009161955832256;0.000853060731464;0.0008051844204677;0.0007683473756793;0.0007391643470444;0.000715704816538;0.0006970203574493;0.0006815115922813;0.0006683405117221;0.0006572186538977;0.0006465828669192;0.0006355797304679;0.0006239332979159;0.0006119088284217;0.0005999152559147;0.0005883517615607;0.0005774802887025;0.0005674404631359;0.0005583312194557;0.0005500395270013;0.0005422798469498;0.0005347380224908;0.0005274225839023;0.0005209490719237;0.0005151238246751;0.0005095663916768;0.0005045960843858;0.0005000012301142;0.0004958211132892;0.0004919829616802;0.0004884441768414;0.0004852887368991;0.0004825935100784;0.0004803502882242
135.61312380366144;8.035820336595304e-07;9.036064904483164e-07;9.675552322617282e-07;9.896055234117646e-07;9.711819396580425e-07;9.20105456891636e-07;8.54429701825688e-07;7.896180266005225e-07;7.279748655994452e-07;6.67022812494129e-07;6.086753632742448e-07;5.488783827776125e-07;4.79272529218002e-07;4.002367564623588e-07;3.0333665633553745e-07;2.333119789991123e-07;2.0091588765361778e-07;2.13972046621575e-07;2.625943061927975e-07;3.21714342016539e-07;3.7247020167518964e-07;4.1571389543461885e-07;4.5168618919377566e-07;4.83335663372854e-07;5.192509946088341e-07;5.560685304342958e-07;5.678826801263692e-07;5.524802242052183e-07;5.491144604329334e-07;5.160120946561574e-07;4.548153862418688e-07;3.933603825555258e-07;3.752647661941119e-07;3.952210904167309e-07;4.386095027141597e-07;4.878193246191347e-07;5.266508082711005e-07;5.491581683442777e-07;5.538879033336904e-07;1.1677948808023995e-06;4.479581370563897e-06;1.5195060046002688e-05;4.254062264767276e-05;9.907870971205647e-05;0.0001997919824064;0.0003568460194946;0.000575130615254;0.0008530088698192;0.0011783143683763;0.0015316198570298;0.0018826592242106;0.0021984508252936;0.0024503226428506;0.0026186357125763;0.0026930056580331;0.0026762077770102;0.0025777836158408;0.0024163581428616;0.0022133519429287;0.0019925978865048;0.0017726934446483;0.0015662685263291;0.0013813462591086;0.0012236144216905;0.001093935277876;0.0009906396437879;0.0009100674825753;0.0008476929687033;0.0007996895190144;0.0007625421996211;0.0007330850969111;0.0007089428467466;0.0006889225988784;0.000672201933262;0.0006578648530991;0.0006453338933311;0.0006339141470003;0.0006230622217806;0.000612732555058;0.000602972504026;0.0005934746044405;0.0005837203495398;0.0005736807165739;0.0005633729612468;0.0005530115894888;0.0005432329079802;0.0005340646746702;0.0005252982350739;0.0005177485963891;0.0005123291075624;0.0005083891944978;0.0005059341829154;0.0005043121041759;0.0005026064539195;0.0005000643962651;0.0004961488247268;0.0004911190618718;0.0004854018317971;0.0004796384866913;0.0004744665364942
137.7529803396901;8.253551990860961e-07;9.80973116970877e-07;1.1171996022711404e-06;1.194111534323034e-06;1.2332934401695604e-06;1.2610867811033085e-06;1.2708049511331087e-06;1.2594209010224151e-06;1.212480163339658e-06;1.1342270241617798e-06;1.0364624439332475e-06;9.19089482717162e-07;7.832451377124495e-07;6.429762225854542e-07;5.238947906093388e-07;4.385380078467802e-07;3.937270733901757e-07;3.886044523004674e-07;4.160841697173686e-07;4.6283131494769765e-07;5.14161183671598e-07;5.700461635066575e-07;6.119729041638367e-07;6.412376374903957e-07;6.672946782872265e-07;7.191113738848921e-07;7.677414581534823e-07;7.980640942397277e-07;8.09270527008922e-07;8.128864661812874e-07;8.108938121169212e-07;7.959807855763813e-07;7.672301184052134e-07;7.447979518341781e-07;7.504380718654971e-07;7.904462142373082e-07;8.726605813022205e-07;9.747675504008014e-07;1.0809268498431963e-06;1.667631508421271e-06;4.476018930290667e-06;1.4249219724641854e-05;4.026341993206509e-05;9.444980192302316e-05;0.0001923176536987;0.0003468203903836;0.000562751743822;0.000838882836914;0.0011608266556249;0.0015068607729611;0.0018491401045847;0.002157145438508;0.0024034308781073;0.0025673823433228;0.002639434618778;0.0026236812029988;0.0025306306147894;0.0023781267105239;0.0021847803863275;0.0019698600426571;0.0017518967315866;0.0015458328354418;0.0013617066909178;0.0012049897676729;0.0010767735759192;0.0009757174119003;0.0008982712662926;0.000839892771023;0.0007958099014711;0.0007618647395015;0.000735159045728;0.0007126976786661;0.0006926121477489;0.0006741400112976;0.0006569658767243;0.0006409586957066;0.0006259287845851;0.0006128282211076;0.0006016509065197;0.0005917482546111;0.0005825359242852;0.0005733495304526;0.0005638413629593;0.0005538858533941;0.0005436944894931;0.0005337910504851;0.0005247838945445;0.0005173671740744;0.0005115319738234;0.0005069333406911;0.000504257729151;0.0005029396479169;0.0005009357057161;0.0004986670983061;0.0004948916145115;0.0004897820042904;0.0004836059803582;0.0004767898107222;0.0004698469037005;0.0004633280795798
139.8921764599363;5.017775022525928e-07;6.857667941437234e-07;8.526011776684912e-07;9.95576351620973e-07;1.1162718973040656e-06;1.2139865727777488e-06;1.2693368393030023e-06;1.257076876025019e-06;1.1739584300655712e-06;1.0644548580755643e-06;9.659698427283626e-07;8.749190880573622e-07;7.889697289490015e-07;7.129586959990036e-07;6.577029058432884e-07;6.200075095521181e-07;5.985697405963959e-07;5.847932714412128e-07;5.840970852571899e-07;6.107086425845565e-07;6.643548015833705e-07;7.290325799687673e-07;7.944030598728679e-07;8.515615317912113e-07;8.868980839137638e-07;8.974115598236733e-07;8.908924297043929e-07;8.787161842600162e-07;8.633497381970558e-07;8.926962515342676e-07;9.622947425711593e-07;1.03986061890329e-06;1.088843289594212e-06;1.092798782166734e-06;1.0919879075279615e-06;1.1342556455646629e-06;1.2504947697236212e-06;1.4103991923901077e-06;1.5833567337480718e-06;2.125718871522124e-06;4.725318004638389e-06;1.3695471365761178e-05;3.883559797761727e-05;9.25093809751535e-05;0.0001893937584067;0.0003416130973591;0.0005546464439837;0.0008266661622538;0.0011440225982688;0.0014843986642118;0.0018208383031932;0.0021228501114376;0.0023636024201705;0.0025223955836577;0.0025898350496179;0.0025704917303068;0.0024758346005079;0.0023240192347987;0.002133848171909;0.0019228820604542;0.0017096793410906;0.001508857116651;0.0013300440799377;0.0011776636552008;0.0010528903063372;0.0009545513490322;0.0008794696738314;0.0008235271192652;0.0007822123196896;0.0007508481517408;0.0007263991142598;0.0007059801108525;0.0006876149514301;0.0006701063174468;0.000652840395736;0.0006363651316328;0.0006212468590033;0.0006075315325031;0.0005951061605118;0.0005837531968396;0.0005733916663404;0.0005633787944501;0.0005534804063702;0.0005439676457346;0.0005347252835658;0.0005262773244779;0.0005195422752068;0.000515044129338;0.0005121410275342;0.0005097521687007;0.0005078900060821;0.0005059302018869;0.0005033994895108;0.0004995998566007;0.0004943542937251;0.000488215956305;0.0004817243444244;0.000475311817611;0.0004691640138721;0.000463541275678
142.03071210513372;4.861983920380309e-07;5.38035959702265e-07;5.815422377051933e-07;6.307310884764914e-07;6.540011355913298e-07;6.678985328979773e-07;6.708289679845493e-07;6.349994206692154e-07;5.615943570301637e-07;4.930521017858503e-07;4.675060187448056e-07;4.789492584187182e-07;5.104206512237326e-07;5.434719029340437e-07;5.647682185863931e-07;5.773192183882341e-07;5.803828800121161e-07;5.700792836424117e-07;5.553069887175082e-07;5.48751175069055e-07;5.577827158277846e-07;5.85005998127339e-07;6.135865673495116e-07;6.249133811292873e-07;6.057205746858345e-07;5.569878753694072e-07;4.940546838366144e-07;4.402076406694105e-07;4.29499649375422e-07;4.90545548125938e-07;6.025278706849371e-07;7.22044975171881e-07;8.259685267278101e-07;9.102644746817804e-07;9.730594252357476e-07;1.0277419994765722e-06;1.087889518011162e-06;1.1398855013181827e-06;1.1709329224217952e-06;1.6606831456776168e-06;4.547054660051068e-06;1.3763165793610764e-05;3.7883586985679535e-05;8.910778583219685e-05;0.0001822748981044;0.0003290924666215;0.0005344920345603;0.0007973801571833;0.0011050012550694;0.0014383628679529;0.0017720448457913;0.0020727246567732;0.0023117511186078;0.0024690581939818;0.0025360377608931;0.002517086127067;0.0024228337806704;0.0022702659650839;0.0020793341812819;0.0018703276488128;0.0016635241201405;0.00147104276121;0.0013001608280962;0.0011546687212267;0.0010351372083092;0.0009404052540936;0.0008674043443938;0.0008120091881738;0.0007703793925364;0.0007389091785483;0.0007148946781902;0.0006950585676114;0.0006772371198308;0.0006611787602725;0.0006463197352734;0.0006320120932635;0.0006188886039734;0.0006066471310711;0.0005948799264926;0.0005835437755815;0.0005728585961448;0.0005627517410511;0.0005532817330446;0.0005444449752851;0.0005363083801401;0.0005292807097672;0.0005236229817217;0.0005193883828442;0.0005163332921888;0.0005138653247168;0.0005112142681373;0.0005080974675257;0.0005046561616597;0.0004998080583966;0.0004939130827821;0.0004874687751531;0.0004811471105301;0.0004756039096037;0.0004710262537835;0.0004674633516202
144.16858721627432;6.996266897872779e-07;6.250143777282893e-07;5.436079414583457e-07;4.582713460280932e-07;3.79712129812459e-07;3.287869707450515e-07;3.154705773667741e-07;3.1140381507519055e-07;2.99852358820191e-07;2.931556978369908e-07;3.032425956076511e-07;3.248832143596592e-07;3.465325112682551e-07;3.566223080049713e-07;3.514914297997021e-07;3.4872173710402826e-07;3.619416662191407e-07;3.8340037822551045e-07;3.972453005358765e-07;4.002353831651113e-07;3.912841989146709e-07;3.7359875250559765e-07;3.489324955261324e-07;3.123284979493153e-07;2.549751219900516e-07;1.923862453045358e-07;1.5437031829680242e-07;1.37956495543796e-07;1.4786401870552698e-07;2.0127038797984602e-07;2.879780098762951e-07;3.81678599416621e-07;4.895169944791069e-07;6.346540081319421e-07;7.88095236188417e-07;9.067803774274352e-07;9.533526598661852e-07;9.328029582478188e-07;8.779881425829574e-07;1.2710724772376558e-06;3.973770167765016e-06;1.2598649824558851e-05;3.451920276842758e-05;8.256265276707436e-05;0.0001712577026859;0.0003118746077275;0.0005091328397052;0.0007613379053393;0.001057872911969;0.0013840040207463;0.001715501562554;0.0020165977588217;0.002256441347216;0.0024160920479438;0.0024874704781509;0.00247405926683;0.002384839570894;0.0022353280980015;0.0020456951310674;0.0018386644465412;0.0016360415324166;0.0014486543014765;0.0012822966423283;0.0011409881085568;0.0010254560974409;0.0009341636380762;0.0008635462229152;0.0008089978447462;0.0007670094695097;0.0007346879274147;0.0007092815694383;0.0006879929442477;0.0006697811498372;0.0006542540474133;0.0006407851670114;0.0006287095424849;0.0006172578898111;0.0006057992802328;0.0005938237251;0.0005816938590786;0.0005705678466571;0.0005605808023402;0.0005519998229935;0.0005451382380912;0.0005392516806842;0.0005340137878886;0.000529269691774;0.0005247894183853;0.0005201135622601;0.0005153138313216;0.0005099454735762;0.0005043385394583;0.0004988929748236;0.0004934941048417;0.0004878764828975;0.0004820619258753;0.0004763028887288;0.000471103927401;0.0004667490984046;0.0004633326144479
