FileName;di(tridecyl) adipate_43
MeasName;43
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-07T19:41:43Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;8.530935061613124e-07;8.472552829220274e-07;8.264980919085091e-07;7.97100835800807e-07;7.658890701065483e-07;7.326353293336263e-07;7.106759362957615e-07;7.067695423276745e-07;7.240425474953857e-07;7.571023095888583e-07;7.846119875729765e-07;7.934466770704065e-07;7.908060024012474e-07;7.736999000491163e-07;7.308588238576459e-07;6.665059762671188e-07;5.927786209568663e-07;5.245381148245046e-07;4.767538324996397e-07;4.799186943289671e-07;5.282434572127212e-07;6.002345075460405e-07;7.2132362691356e-07;8.673550486292004e-07;1.0145880246699514e-06;1.1282771213642606e-06;1.206622674024802e-06;1.2597015227569988e-06;1.2663700985233175e-06;1.2283925594952142e-06;1.1600568224047983e-06;1.07030138658402e-06;9.622512179859091e-07;8.456420984879329e-07;7.092499309631438e-07;5.863322119247524e-07;5.586313933085346e-07;6.315146186883356e-07;8.196345987331279e-07;1.3255643049760034e-06;3.5622020570801942e-06;1.0610411363480451e-05;2.761694618528607e-05;6.248508208220714e-05;0.0001228784174495;0.0002143455903878;0.0003379769869008;0.0004892169713923;0.0006587581926986;0.0008356535206348;0.0010053793941352;0.0011513878499366;0.0012582269387558;0.0013176795978172;0.0013269266543935;0.0012896129356614;0.0012127182591838;0.0011060392559322;0.000980774315105;0.0008488971996861;0.0007215733010071;0.0006068871935696;0.0005088401498797;0.0004293299445285;0.0003677990658082;0.0003221865372416;0.0002892651887439;0.0002652127077712;0.0002472155478412;0.0002332957325481;0.0002217867689814;0.000211426566455;0.0002017802991209;0.0001929828808196;0.0001850117828102;0.0001777485384936;0.0001712197772037;0.0001655485810027;0.0001608282592333;0.0001570780420025;0.0001540306478822;0.0001512898407102;0.0001484899147484;0.0001453837311512;0.0001419574844402;0.000138255772872;0.0001344259442664;0.0001307107126105;0.0001273033384474;0.00012440478445;0.0001220367343711;0.0001200366420213;0.0001182008340729;0.0001163546428239;0.0001145058910209;0.0001127547052425;0.0001112141582757;0.0001099591605404;0.000108986361901;0.0001082642750007
129.18959229751636;3.41188305325344e-07;3.294693187694832e-07;3.281168309706328e-07;3.3564919399103866e-07;3.330483385025363e-07;3.277635135046556e-07;3.210569686895527e-07;3.107169646854082e-07;3.003151557034984e-07;2.994482832285921e-07;3.050953760949182e-07;3.0040118762375986e-07;2.773432460148477e-07;2.560464546606589e-07;2.42388886838029e-07;2.24336356408582e-07;2.0298862696049922e-07;1.952640140141925e-07;2.235042983295251e-07;3.108826342070599e-07;4.565805981073037e-07;6.378158258174089e-07;8.109442842133681e-07;9.48101760873144e-07;1.0370186457584788e-06;1.0927469220448414e-06;1.1428882655651929e-06;1.2012569068936706e-06;1.235401248327733e-06;1.216308332636927e-06;1.165102925039819e-06;1.0883957171209585e-06;9.785675475425923e-07;8.455487478359695e-07;7.121418567711094e-07;6.096756249522807e-07;5.934469393358916e-07;7.265602433448414e-07;1.0027133159412288e-06;1.5400211813991303e-06;3.572038618648868e-06;9.835756334585828e-06;2.5416735489955264e-05;5.850335275198216e-05;0.000116621518882;0.0002050791836122;0.0003239760827869;0.0004699773077273;0.0006350501565097;0.0008085233633179;0.0009757388658904;0.0011196029187253;0.0012248622059158;0.001283732103236;0.0012933797821597;0.0012573920792542;0.0011824837875751;0.0010781839571728;0.0009556273616999;0.0008268381186492;0.0007028392014962;0.0005913040539193;0.0004961468250479;0.0004192055428264;0.0003595226661033;0.0003149408878554;0.0002823813802655;0.0002582803750316;0.0002399888318568;0.0002254871436649;0.0002131965254168;0.0002022569251009;0.0001925968281931;0.0001842384172708;0.0001770182445571;0.0001706038964111;0.0001646923148178;0.0001590588766145;0.0001539214542995;0.0001493823450961;0.0001454008454679;0.000141993998528;0.0001391829727684;0.000137124798585;0.0001355722623871;0.0001341080100525;0.0001325091894861;0.0001306210807457;0.0001284182348399;0.0001259804133172;0.0001233898010533;0.0001206880272155;0.0001179123542784;0.0001151279875828;0.0001124312588977;0.0001102239840525;0.0001084474258309;0.0001070930978598;0.0001061447302259;0.0001055403955215
131.33142972264977;3.734152934979477e-07;3.100284910554158e-07;2.750169180551743e-07;2.717817441770115e-07;2.75914340943109e-07;2.772793944243761e-07;2.9523441146978124e-07;3.338197376541256e-07;3.810790837657059e-07;4.296370579038543e-07;4.643903878269254e-07;4.685020076426438e-07;4.480498471320653e-07;4.174923227314215e-07;3.809946329974824e-07;3.3209564351412405e-07;2.728351060449331e-07;2.271879937952824e-07;2.2265967422370563e-07;2.7585790857979693e-07;3.9074802672591037e-07;5.547974172868479e-07;6.946204541947886e-07;8.019133201810536e-07;8.603114286118046e-07;8.769478334664897e-07;8.830530611789736e-07;9.005761888142513e-07;9.049532380982932e-07;8.709388589634275e-07;8.204461875236279e-07;7.786129236999661e-07;7.556425723760765e-07;7.446376498069724e-07;7.559156054165419e-07;8.0580821282385e-07;8.633852615839424e-07;9.640755916719295e-07;1.1418399192160937e-06;1.4858420217102597e-06;3.0526557605606465e-06;8.62469017336332e-06;2.3337906612549327e-05;5.4511747945165066e-05;0.0001094294536783;0.0001927446777846;0.0003057761717764;0.000446013824286;0.000606109072297;0.0007756973131824;0.0009394908470232;0.0010804186040984;0.0011835016895197;0.0012408439181884;0.0012493363507426;0.0012126195252528;0.0011375007251833;0.0010343930975251;0.0009147609857577;0.0007910014655145;0.0006732401872848;0.0005681807723427;0.000478803490774;0.0004061889993958;0.0003491400051323;0.0003056333158362;0.0002730709296764;0.0002489016109808;0.0002307759345896;0.0002164993779464;0.0002046978253686;0.0001945974924843;0.0001858598303433;0.0001780780193161;0.0001709734027729;0.0001643660193441;0.0001581543054561;0.0001524053431754;0.0001470943946514;0.0001423131611764;0.0001381873458575;0.0001346938627569;0.0001318863165776;0.0001298787542054;0.0001285896605934;0.0001277596368965;0.0001271171901107;0.0001263902468781;0.0001250683495377;0.0001231534792737;0.0001208112594373;0.0001181225885853;0.0001153835240602;0.0001126156613572;0.0001100079686011;0.0001077176063818;0.0001058450820875;0.0001044492563196;0.0001034174588481;0.0001027244565354
133.47260691138217;3.828682226607185e-07;3.033705062155039e-07;2.355298909499686e-07;1.9059280444365245e-07;1.7040925432158116e-07;1.7246862406881856e-07;1.923037973771448e-07;2.38595524857628e-07;3.228491514349464e-07;4.360969141500391e-07;5.387687084062656e-07;5.985114447283146e-07;6.323889710087896e-07;6.448305157576061e-07;6.424208534974535e-07;5.96151338131509e-07;5.130570994488674e-07;4.169922663826813e-07;3.407990664652471e-07;3.143968997796892e-07;3.420570886686484e-07;4.140148574399379e-07;4.967465768094522e-07;5.926090253352717e-07;6.782563928831326e-07;7.374112088339943e-07;7.685578734553041e-07;7.669159943674205e-07;7.224199687062896e-07;6.330261825126807e-07;5.207642506021566e-07;4.3932929340886506e-07;4.356719843940002e-07;5.089558962104502e-07;6.054485954920055e-07;7.025250849195334e-07;7.707188039414948e-07;8.157884280918654e-07;8.61435766657557e-07;1.132532534527637e-06;2.5820406916470403e-06;7.782063237934757e-06;2.1596469284846732e-05;5.055495077784592e-05;0.0001007908347443;0.0001770077591107;0.0002808408226178;0.0004111769070096;0.0005621386559885;0.0007242032966892;0.0008814801090474;0.0010169984199376;0.0011165748562987;0.0011723166391857;0.0011810163814099;0.0011460531160244;0.0010740220777503;0.0009758291318442;0.000863097287816;0.0007481818901701;0.0006397829214402;0.0005431517198603;0.0004604446502147;0.0003924361507405;0.0003381989621628;0.0002960196971305;0.0002639268277927;0.0002397600983846;0.0002215102199792;0.0002074802724369;0.0001962516741624;0.0001868040291415;0.0001786180638815;0.0001715279128259;0.0001650198052865;0.0001590417142925;0.0001535982952575;0.0001487750421244;0.0001441310349977;0.0001398571840646;0.0001359661228026;0.0001324069704696;0.0001292875358584;0.0001264179029116;0.0001238817367527;0.0001220642814976;0.0001210666805479;0.0001201965646328;0.0001191071488918;0.0001178616253254;0.0001163860075101;0.0001144473116516;0.00011245500399;0.0001105508226831;0.0001087572974911;0.0001071627553795;0.0001058689749655;0.0001048993536906;0.0001042060003204;0.0001036975058585
135.61312380366144;3.920241390268639e-07;3.915734012998222e-07;3.676529630250236e-07;3.275651444840307e-07;2.848846820661627e-07;2.440678940687509e-07;2.0549158435298555e-07;1.743147029680003e-07;1.8919876331940317e-07;2.231807226554071e-07;2.6760765618283134e-07;3.096425959456783e-07;3.557027626818507e-07;4.1451183003412557e-07;4.682733284690366e-07;4.926016525584556e-07;4.815920455799908e-07;4.4230323108131977e-07;3.911122200691107e-07;3.416888391309413e-07;3.2148561892330137e-07;3.436047146304638e-07;4.060052640421338e-07;5.01550675707286e-07;6.092575792359731e-07;6.990581218781898e-07;7.516602638795521e-07;7.535494715174616e-07;6.997312800133339e-07;5.948948390126985e-07;4.572578457966295e-07;3.288991209247567e-07;2.773587260874413e-07;3.024481444948382e-07;3.664123492346952e-07;4.321527596889928e-07;4.734844211446774e-07;5.09121747031381e-07;5.268253133003524e-07;8.551563854630881e-07;2.551270256739697e-06;7.867163480274351e-06;2.1027232505311872e-05;4.770397517118468e-05;9.412278941227226e-05;0.0001652236874799;0.0002628760269318;0.0003859238745055;0.0005283247451079;0.0006804907562938;0.0008279433224334;0.0009553988038971;0.0010499000665383;0.0011033898757248;0.0011128949833186;0.0010818197314127;0.0010165387549112;0.0009270665205601;0.000823751024925;0.0007175019774522;0.0006164034815314;0.0005254236015222;0.000446847151782;0.0003817224706549;0.0003294800728604;0.0002888908281323;0.0002579892021984;0.0002345558816422;0.0002168463852954;0.0002032681524823;0.0001923517827147;0.0001830866240907;0.00017508842537;0.0001681770529423;0.0001621861654506;0.0001570684632603;0.000152660312532;0.0001486994879615;0.0001449026824097;0.000141077034566;0.0001371713894618;0.0001332952372183;0.0001296513594116;0.0001263922583898;0.0001236870177096;0.000121598601584;0.0001200049023014;0.0001186486240292;0.0001173035064622;0.0001158073331612;0.0001141641718838;0.0001124575370929;0.0001107899812768;0.0001092325131589;0.0001077779003297;0.0001064787332433;0.0001054042175378;0.0001045549908409;0.0001037856701373;0.0001030334912155
137.7529803396901;8.637959428754818e-07;9.75894656690073e-07;1.0188608368784108e-06;9.894691812629554e-07;8.893001781006861e-07;7.222326341594262e-07;5.132072356530306e-07;3.222358251510025e-07;1.963674941810349e-07;1.351396762889588e-07;1.067024084311635e-07;1.0347303193346965e-07;1.2706842557175588e-07;1.747673159510738e-07;2.167766553265297e-07;2.611232045376696e-07;2.865125085848123e-07;2.949495401263596e-07;2.908907492181697e-07;2.821899340135689e-07;2.8267523864644424e-07;3.13760127784409e-07;4.1347119384155163e-07;5.461627312510931e-07;6.826031529465817e-07;8.02529487336126e-07;8.930563612951696e-07;9.425225608931746e-07;9.416379983570516e-07;8.897024370782757e-07;7.946528304274248e-07;6.892451730332306e-07;6.159233576197881e-07;5.764182692870438e-07;5.55339519430054e-07;5.586124525016197e-07;5.952863482375752e-07;6.535985517685362e-07;7.1842638825618e-07;1.0190734014558931e-06;2.533094970288052e-06;7.497594454389051e-06;2.010186832287102e-05;4.570327540242425e-05;9.119918344633492e-05;0.0001610564348138;0.00025718993364;0.0003779763883611;0.0005162580655696;0.000661479424056;0.0008005782494587;0.000919806911645;0.0010074093721851;0.0010557309385284;0.0010625231828445;0.001031863529926;0.0009704516979489;0.0008875495537836;0.0007918787695995;0.0006917800924794;0.0005949954992541;0.0005073156143915;0.0004316376941372;0.0003690513821153;0.0003190380366783;0.0002804976086651;0.0002516105622423;0.0002301949371852;0.0002140352825995;0.0002013501283068;0.0001910902736041;0.0001824256514805;0.0001748155908961;0.0001681606703855;0.0001624852661493;0.0001576921389937;0.0001535161826993;0.0001496525328704;0.0001459983512089;0.0001421786214219;0.0001382891578939;0.000134477372889;0.0001308386625691;0.0001275901635565;0.0001248883242433;0.0001225621411883;0.0001203858522198;0.0001182536191627;0.0001163173222677;0.0001145291775964;0.0001127547767384;0.0001109194304162;0.0001090284252088;0.000107155228581;0.0001053126015022;0.0001032243320096;0.0001010375716822;9.896427001893456e-05;9.724783512016928e-05;9.57807388284916e-05
139.8921764599363;1.0446606292890872e-06;1.1914261805319331e-06;1.2625286904535473e-06;1.2676324851871449e-06;1.180961608978106e-06;9.890556844441734e-07;7.122405390492852e-07;4.742501986477906e-07;3.421970465873887e-07;2.906769170284448e-07;2.612239236987218e-07;2.424603043630495e-07;2.392133858014663e-07;2.4808124271456e-07;2.664110719940637e-07;2.753382928164069e-07;2.712380561093399e-07;2.574085351528256e-07;2.385649333854709e-07;2.2394087313751238e-07;2.2791891250486765e-07;2.5658439354870655e-07;3.372220851852441e-07;4.4735588596503523e-07;5.719720165206935e-07;7.056131371327766e-07;8.4010270242194e-07;9.62153591724326e-07;1.0547102054895915e-06;1.1064517360096887e-06;1.1102984374379763e-06;1.0733795213411583e-06;1.0095886472651095e-06;9.455068652205712e-07;9.064793035339962e-07;9.180104773393608e-07;9.789334713731568e-07;1.0531589034883169e-06;1.1088597930962223e-06;1.3053364788111236e-06;2.443516473758631e-06;6.636692705378271e-06;1.855283189398948e-05;4.383549380253646e-05;8.844026454618228e-05;0.0001575181562887;0.0002522937083681;0.0003707212127427;0.0005057318594836;0.0006466482968531;0.0007810827995544;0.0008956265179899;0.0009794514151741;0.0010255733995552;0.0010319195121077;0.0010022147954919;0.0009426175686143;0.0008616795424466;0.0007681561421266;0.0006700473943235;0.0005752258522543;0.000489389540723;0.00041563563141;0.0003550255992927;0.0003070041237849;0.0002704183060814;0.0002434211207838;0.0002236582881673;0.0002085704507889;0.0001965206498235;0.0001867167947551;0.0001784867066968;0.0001714053419454;0.0001654612277504;0.0001606398938874;0.0001567064199978;0.0001532232530865;0.0001497640479274;0.0001461964261704;0.0001424842348131;0.0001387113699848;0.0001350387736261;0.0001315149930396;0.0001281039533188;0.0001247808681258;0.0001216772430745;0.0001188148923972;0.00011621741149;0.000113973400542;0.0001120517448014;0.0001103327383133;0.0001086628851148;0.0001067578792527;0.0001047108363429;0.0001024543268577;9.999842701869012e-05;9.750749964585552e-05;9.49759853704031e-05;9.275305600824294e-05;9.097766729838424e-05
142.03071210513372;4.216914223060679e-07;4.892162953304316e-07;5.456867337819871e-07;6.012017788990289e-07;6.351089315976855e-07;6.224056201875729e-07;5.631978713546e-07;4.916008624492378e-07;4.536473769617584e-07;4.2640477537284417e-07;3.9265907586539684e-07;3.488881576501333e-07;3.078996492119685e-07;2.953112570940572e-07;2.9113632004327024e-07;2.784930625128547e-07;2.623829835553736e-07;2.3593722137569306e-07;1.992973707671778e-07;1.6014186625538286e-07;1.3400569685932654e-07;1.339914054841795e-07;1.6883237978810408e-07;2.326590852368509e-07;3.2728678884567013e-07;4.385908209052753e-07;5.515743855664143e-07;6.548336307381518e-07;7.341648217066156e-07;7.789522399527936e-07;7.81717222215438e-07;7.379196467072296e-07;6.704975906686825e-07;6.418970644183401e-07;6.917997133189445e-07;7.915304808845421e-07;9.020287431299088e-07;9.89082862985836e-07;1.0344789900169062e-06;1.2726471495127196e-06;2.6102392799102664e-06;6.986563348650122e-06;1.844409345252395e-05;4.236857371038673e-05;8.466680758561666e-05;0.0001503584451046;0.0002406217155861;0.0003533971109413;0.0004826813687542;0.0006197026002584;0.0007533327933337;0.0008692189775418;0.0009555871562406;0.001004999493972;0.0010148571042252;0.0009880709279096;0.0009299933009136;0.0008486280928104;0.0007533861574837;0.0006538061526748;0.0005589414978523;0.0004737939593775;0.0004007365288532;0.0003413229811498;0.0002949784047742;0.000259967848549;0.0002341374865988;0.000214940331862;0.0002003427247886;0.0001888968887981;0.0001797702266413;0.0001723913952207;0.0001661353264437;0.0001607843275858;0.0001564020493226;0.000152725369537;0.0001494166616957;0.0001461808253993;0.0001428065785444;0.0001392216833936;0.0001355335729512;0.000131929325545;0.0001285703830736;0.0001255077238436;0.0001226649110653;0.0001198798460143;0.0001170082540329;0.0001144064433217;0.0001119903029579;0.0001097529956529;0.0001076594384948;0.0001055695294201;0.0001038089150403;0.0001021094121451;0.0001004072364548;9.873022161542196e-05;9.71204663126242e-05;9.54291128099704e-05;9.36202535191992e-05;9.213258479305977e-05
144.16858721627432;4.0758063888585866e-08;4.3649019342607164e-08;6.663489133562622e-08;1.0135274815597837e-07;1.619118713948895e-07;2.354057750340794e-07;3.063436961202144e-07;3.452513982960468e-07;3.564221654894742e-07;3.524287750482764e-07;3.391664915133862e-07;3.182935748981648e-07;2.965683641571303e-07;2.874313510945139e-07;2.850028311013283e-07;2.827707331367596e-07;2.722772783333891e-07;2.399794266698554e-07;1.9200369203908384e-07;1.4013657075737846e-07;9.528358253566792e-08;8.371478661118485e-08;1.254825851963669e-07;2.235185288982084e-07;3.3579790826894933e-07;4.4433218091008267e-07;5.353820868676198e-07;5.981278563589934e-07;6.229779740021803e-07;6.035121180701256e-07;5.396822919428444e-07;4.458013372168109e-07;3.541789345004156e-07;3.311913057105549e-07;4.030738690091608e-07;5.2191124964654e-07;6.406230995614239e-07;7.294893342238368e-07;7.925157773398517e-07;1.1283864930328006e-06;2.765781167811796e-06;7.375819117865988e-06;1.818874671172108e-05;4.061298187334862e-05;8.069848982721222e-05;0.0001427610893432;0.0002278309015219;0.0003341735091946;0.0004567953907716;0.0005887664623542;0.0007198061723277;0.0008350867353129;0.0009219267340168;0.0009729350153668;0.0009854374868638;0.0009617578466443;0.000906478054912;0.0008268241181017;0.0007324703280613;0.0006341265603925;0.0005416551441207;0.0004594653396051;0.0003892350062275;0.0003318110524728;0.0002866236925072;0.0002523710490276;0.0002269296300656;0.0002077901648313;0.0001933810455849;0.0001826533833013;0.0001746394811797;0.0001681487176864;0.0001625596035288;0.0001575474647178;0.0001529169895336;0.0001486477228284;0.0001446634105387;0.0001408211683104;0.0001369815135804;0.0001334731233946;0.0001302784204638;0.0001273987593884;0.000124872568363;0.0001227228162918;0.000120539274475;0.0001182912880465;0.0001157976723822;0.000112944629577;0.0001097160979557;0.0001067507168132;0.000104080631074;0.000101930318859;0.0001004138222739;9.946450497209976e-05;9.895107143290546e-05;9.819107239402102e-05;9.74088437856011e-05;9.65001095169249e-05;9.5486305947974e-05;9.44892922430968e-05
