FileName	diisobutyl phthalate_43
MeasName	43
UserNotes_MeasName	
UserNotes_SampleName	
Timestamp	2023-11-27T21:24:53Z
VirtualGateStart	NaN
VirtualGateEnd	NaN
HwSerial	2022091501
HwModel	M3.1
SpectralAxis	Raman shift (1/cm)
TimeAxis	Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [622.7995276418224, 1004.383987706191, 1033.896377865036, 1604.750144598016]"
Calibration Delta: -2.6549559297583505
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.355389363412677;5.36912563675346;5.382861910094244;5.396598183435027;5.410334456775811;5.424070730116594;5.437807003457378;5.451543276798162;5.465279550138946;5.479015823479729;5.492752096820513;5.506488370161296;5.52022464350208;5.533960916842863;5.547697190183647;5.561433463524431;5.575169736865215;5.588906010205998;5.602642283546782;5.6163785568875655;5.630114830228349;5.6438511035691326;5.657587376909916;5.6713236502507005;5.685059923591484;5.698796196932268;5.712532470273051;5.726268743613835;5.740005016954618;5.753741290295402;5.767477563636186;5.78121383697697;5.794950110317753;5.808686383658537;5.82242265699932;5.836158930340104;5.849895203680887;5.863631477021672;5.877367750362454;5.891104023703239;5.904840297044022;5.918576570384806;5.932312843725589;5.946049117066373;5.9597853904071565;5.97352166374794;5.9872579370887244;6.000994210429508;6.0147304837702915;6.028466757111075;6.042203030451859;6.055939303792642;6.069675577133426;6.08341185047421;6.097148123814994;6.110884397155777;6.124620670496561;6.138356943837344;6.152093217178128;6.165829490518911;6.179565763859696;6.193302037200478;6.207038310541263;6.220774583882046;6.23451085722283;6.248247130563613;6.261983403904397;6.275719677245181;6.289455950585964;6.303192223926748;6.316928497267531;6.3306647706083155;6.344401043949099;6.3581373172898825;6.371873590630666;6.38560986397145;6.399346137312234;6.413082410653017;6.426818683993801;6.440554957334585;6.454291230675368;6.468027504016152;6.481763777356935;6.49550005069772;6.509236324038502;6.522972597379287;6.53670887072007;6.550445144060854;6.564181417401637;6.577917690742421;6.591653964083205;6.605390237423988;6.619126510764772;6.632862784105556;6.646599057446339;6.660335330787123;6.6740716041279065;6.68780787746869;6.7015441508094735;6.715280424150258
126.1027945841888;6.31486804497948e-07;6.533653084789237e-07;6.752438124598995e-07;1.396842286494889e-06;6.013930982207479e-06;1.176368616438744e-05;1.754029659640851e-05;7.644408542207168e-05;0.0002171022460121;0.0003577604066022;0.0005099225479;0.0007765094897778;0.0011101967101602;0.0014438839305426;0.0017091837495167;0.0017931595574812;0.0018274371610625;0.0018209620108535;0.0016685382876615;0.0014058124663236;0.0011430866449857;0.0009000260623813;0.0007375344988585;0.0005819287544055;0.0004340060808353;0.0003487329630927;0.0003042685561319;0.000259804149171;0.0002222436353124;0.0002044623078321;0.0001955648492712;0.0001866882028229;0.0001829137735414;0.0001787279344287;0.0001744863368361;0.0001708136182361;0.0001670638065342;0.0001623224533418;0.000157652683415;0.0001534780357801;0.0001497838459906;0.0001461417856966;0.0001421718931542;0.0001371879811651;0.0001336467603263;0.0001301055394875;0.0001281733679325;0.0001271759721357;0.0001264262486657;0.000125599454547;0.0001234687210677;0.0001195072755188;0.0001153965259973;0.0001112120031756;0.0001074935456861;0.000107501988877;0.0001075104320679;0.0001078453427651;0.0001091357123931;0.0001087444359482;0.0001087747504647;0.0001076265157366;0.0001071682924254;0.0001073129005045;0.0001067825838933;0.0001045826100677;0.000101587304785;9.840354147155824e-05;9.673780432873818e-05;9.452354444185616e-05;9.230928455497416e-05;8.93834591038212e-05;8.576217506055538e-05;8.328652159353526e-05;8.07330975498808e-05;7.939089533417758e-05;7.907605751306111e-05;7.942900836402544e-05;8.032813294500515e-05;8.170966262476693e-05;8.049297284419915e-05;7.917170482979069e-05;7.750802167776445e-05;7.603131108615273e-05;7.490555603447615e-05;7.370367219913806e-05;7.219612821282456e-05;7.130493618052157e-05;7.05806551086716e-05;7.015259227359852e-05;6.885983682143432e-05;6.721205808463773e-05;6.550022766353433e-05;6.465648842196028e-05;6.548660206731746e-05;6.631671571267461e-05;6.709800075442385e-05;6.580819468459966e-05;6.332009545847631e-05;6.087528035933041e-05
128.25674194739986;5.263184697532227e-07;5.786066859041153e-07;6.308949020550081e-07;1.673248973792281e-06;5.273829332626319e-06;9.383972936004863e-06;1.358338832145852e-05;8.854970716992387e-05;0.0002104818032485;0.0003324138993271;0.0004925873398285;0.0007843872832562;0.0011131589895265;0.0014419306957968;0.0016524693942781;0.0017405813766942;0.0018032918838938;0.0018042775039806;0.0016100917382959;0.0013560723433451;0.0011020529483944;0.0008832895706324;0.0007173933109775;0.0005553203795004;0.0004125003271619;0.000346032015859;0.0003026284678501;0.0002592249198411;0.0002283207842216;0.0002104007272335;0.000197124718266;0.0001839178925822;0.0001780442765452;0.0001725802143596;0.000167227729969;0.0001637792528499;0.0001604938573866;0.0001565678966375;0.0001528798918088;0.0001503056011361;0.0001482651580744;0.0001462835731188;0.0001432122135674;0.0001369570849011;0.0001316026247864;0.0001262481646718;0.0001247212540883;0.0001242662703239;0.0001239344177943;0.0001236304447768;0.0001217255435602;0.0001185370286427;0.0001152813449534;0.0001119987765461;0.0001091380831408;0.0001082515249418;0.0001073649667428;0.0001056146652971;0.0001056582418556;0.0001049452805988;0.0001056337651172;0.0001054189726302;0.0001052114891888;0.0001052752071318;0.0001043538728432;0.0001020509721044;9.950703009506032e-05;9.633661898397636e-05;9.45000387768307e-05;9.301148774019458e-05;9.152293670355846e-05;8.998796085005237e-05;8.659453843470083e-05;8.351380046257135e-05;8.017453881219516e-05;7.77552886599107e-05;7.605255968823571e-05;7.472026277653476e-05;7.513251917348446e-05;7.660511716926328e-05;7.654089685545165e-05;7.612313110538213e-05;7.47058485327404e-05;7.345305853688491e-05;7.270162960619175e-05;7.16971346185866e-05;7.023057246868038e-05;6.883335731362694e-05;6.747912060238414e-05;6.719547785034585e-05;6.6520537977637e-05;6.554100311358175e-05;6.434854868866539e-05;6.353473972618243e-05;6.459622512486756e-05;6.57271793712806e-05;6.669581837258855e-05;6.513728187240271e-05;6.22264187181518e-05;5.945943995051813e-05
130.40997601856725;2.924379316526191e-07;3.890358149467227e-07;4.943380229465402e-07;1.517667587712299e-06;4.488613355168379e-06;7.56706274594433e-06;1.2290602023928294e-05;8.929097586723162e-05;0.0001939273816173;0.0002990967589947;0.0004751218488695;0.0007690201208865;0.0010847365169698;0.0013987554022924;0.0015871279029608;0.0016763496837904;0.0017479586472453;0.0017494612579913;0.0015559389506418;0.001308678687101;0.0010602556125408;0.0008490126265468;0.0006874813174253;0.0005303735207599;0.0004065268412162;0.0003406822507118;0.0002986515286499;0.000257623496149;0.0002315391295955;0.0002122588895344;0.000196565095614;0.0001816975239592;0.0001728435454736;0.0001664628037973;0.0001606612602077;0.0001578397648341;0.0001551557842779;0.0001515535402223;0.0001480992443754;0.0001460439467297;0.000144573722611;0.0001433615248054;0.0001408621870248;0.0001337205432676;0.0001278246671712;0.0001218727712175;0.0001209731773726;0.0001209760691238;0.0001210520828829;0.0001212848133471;0.0001202545400179;0.0001171012057555;0.0001139191745615;0.0001106335009071;0.0001093919808307;0.0001097647544904;0.0001103029306983;0.0001087723974029;0.0001061379896418;0.0001033439735158;0.0001022949004979;0.0001013155604747;0.0001005375339267;9.996002546513644e-05;9.880176363868644e-05;9.775224437169186e-05;9.712201580340528e-05;9.549442323301687e-05;9.354401412393344e-05;9.157304905062147e-05;8.96121288333218e-05;8.918229595992577e-05;8.721042729277408e-05;8.448830699355308e-05;8.126560097886815e-05;7.756920412120525e-05;7.496194191065923e-05;7.271471777399138e-05;7.301620188040574e-05;7.458131905122241e-05;7.434072219261502e-05;7.377073182649473e-05;7.191498021370377e-05;7.062008101032532e-05;7.074957303313987e-05;6.999259178280215e-05;6.883301184654418e-05;6.707923514893746e-05;6.535677994128791e-05;6.55036527551653e-05;6.570296173477223e-05;6.525465874672576e-05;6.441153339321977e-05;6.274238818655034e-05;6.283930061751473e-05;6.322853032145171e-05;6.33327972576269e-05;6.186088887487273e-05;5.939115547683502e-05;5.714393790051431e-05
132.5624968877928;4.856166887187696e-08;1.197953823803153e-07;2.300391727870245e-07;1.1959521621515515e-06;4.190587984300079e-06;7.185223806448601e-06;1.7294574507637953e-05;8.392546027715043e-05;0.000175970142688;0.0002704034382154;0.0004591289331858;0.0007326720568627;0.0010274850190175;0.0013117374212594;0.0015138901275149;0.0016118749465964;0.0016885980833635;0.0016591942647376;0.0015026345910367;0.0012747364540023;0.0010416269595311;0.0008266735177614;0.0006652054807887;0.0005119233865738;0.0004079192682581;0.0003322912802758;0.0002895398376464;0.0002512821378641;0.0002272370338234;0.0002069109080655;0.0001911076542728;0.0001786200330237;0.0001692084727298;0.0001639366032712;0.0001596436510098;0.0001571277900066;0.0001542247624981;0.0001499629342166;0.000144944180996;0.0001406647485903;0.0001370198717298;0.0001340841757653;0.0001320352967457;0.0001275381660903;0.0001248826456106;0.0001219760615489;0.0001217702814127;0.0001221076774438;0.0001225268746751;0.0001228850478243;0.000121979557735;0.0001178464946894;0.0001136483297523;0.0001085455459848;0.0001069265181529;0.0001073858126259;0.0001087854160984;0.0001106822009922;0.000108574145043;0.0001064660890938;0.0001032573873921;9.914602670725082e-05;9.570730203397588e-05;9.291081309926931e-05;9.129491152926676e-05;9.111313456124724e-05;9.174710726265648e-05;9.165759066657473e-05;9.073992415414026e-05;8.908787110500522e-05;8.748083597727358e-05;8.823206158810832e-05;8.814077204301102e-05;8.663325449836555e-05;8.437645212138248e-05;8.080150649524534e-05;7.883427342362394e-05;7.735614493631188e-05;7.690287406279971e-05;7.710769777356674e-05;7.474198058769867e-05;7.307100039954572e-05;7.150552204481207e-05;7.091570503149179e-05;7.243699826163279e-05;7.152061569139528e-05;7.0446528743132e-05;6.836849724662494e-05;6.674532669723028e-05;6.68042261859302e-05;6.665662434953118e-05;6.549684613993526e-05;6.385802450193997e-05;6.135504265291016e-05;6.050720086572521e-05;6.013548387166485e-05;5.947649113764516e-05;5.826732626225536e-05;5.640994922826528e-05;5.468359970010919e-05
134.71430464520017;-5.6916814255174485e-08;-6.699990848135985e-08;-1.2766259153718566e-08;9.831448763841785e-07;3.624221850058213e-06;6.521529347777139e-06;2.182536855957272e-05;7.904999109290956e-05;0.000156912817152;0.000240074037393;0.0004491120327554;0.0007089407430533;0.0009863065922847;0.0012378957083994;0.0014278936919394;0.0015449449061125;0.0016460038803363;0.0015771483060895;0.0014269306957202;0.0012255125407945;0.0010155023100136;0.0008118922447357;0.0006413881442469;0.0004819579046303;0.0003914718303048;0.0003226723982533;0.0002779155300504;0.0002408920461015;0.000219806235897;0.000201813755571;0.0001868379867083;0.0001773224689236;0.0001701031511386;0.0001655079383537;0.0001615317466432;0.000157770323364;0.000153721029235;0.0001489269074067;0.0001426136350645;0.0001366046876446;0.0001311059595944;0.0001265249679451;0.0001250793578154;0.0001240754726064;0.0001240783697227;0.000123667332971;0.0001235391963708;0.0001235317669505;0.0001235664458352;0.0001232749681657;0.000121712964407;0.000118196256486;0.0001145722136917;0.0001089370485028;0.0001051690597476;0.0001026501802289;0.0001022454429939;0.0001063794757606;0.0001078650140056;0.0001093495121233;0.0001058415815624;9.928455099573284e-05;9.333041962623503e-05;8.84351559797188e-05;8.730871018223316e-05;8.719345661540525e-05;8.755246122184692e-05;8.745521743107858e-05;8.679182945624343e-05;8.534548903417287e-05;8.39733706166828e-05;8.522350191551628e-05;8.638141826867097e-05;8.682380806171845e-05;8.618797200651257e-05;8.376785022733058e-05;8.215006269930253e-05;8.082893209746407e-05;7.887117090202186e-05;7.731202285408712e-05;7.435704504039873e-05;7.305909814942701e-05;7.353175715911618e-05;7.426482334995699e-05;7.592527479333377e-05;7.392611496366697e-05;7.192009092127304e-05;6.914387346579749e-05;6.735140401642028e-05;6.669525269320291e-05;6.604311410170731e-05;6.494093621424236e-05;6.334783497920346e-05;6.137586512045273e-05;6.012010744363893e-05;5.91435303943706e-05;5.7938462067415065e-05;5.660697827407667e-05;5.4972293928255495e-05;5.336812347271559e-05
136.86539938092028;1.5933777415998588e-07;1.4349154183598954e-07;1.7808184807678594e-07;9.820139585356762e-07;3.707827458948412e-06;8.010246490850283e-06;2.2561370633887933e-05;6.979762713543477e-05;0.0001474116432198;0.0002402754801972;0.0004432692046685;0.0006846571243658;0.0009517162303669;0.001187619473342;0.001370898368934;0.0014797456264097;0.0015672729676308;0.0014931752836444;0.0013470905363108;0.0011558043054522;0.0009584020228056;0.0007688735771593;0.0006012831515275;0.000451932205691;0.0003627200932198;0.0003007761611787;0.0002616651655223;0.0002305528168782;0.0002123728328533;0.0001977726253956;0.00018519202725;0.0001762886783553;0.000169774890658;0.0001643300595825;0.0001594088119658;0.0001542852832645;0.0001495899191649;0.0001450570879953;0.0001394759567977;0.0001343630892472;0.000130020007764;0.0001260962454126;0.0001244243040944;0.0001242910361062;0.0001239066292959;0.0001234380204976;0.0001227902772522;0.0001218743754975;0.0001210088522249;0.0001201251887289;0.0001182340607695;0.000116024912918;0.0001133567262807;0.0001087775961295;0.0001041276393259;9.97928445518004e-05;9.776854906238576e-05;0.0001007585030405;0.000103060721742;0.0001054336793114;0.0001025039887002;9.666907329688442e-05;9.15948229343732e-05;8.720493328437048e-05;8.732165954386692e-05;8.760684447267496e-05;8.787785237672949e-05;8.775836921563941e-05;8.702898688095675e-05;8.505418279864473e-05;8.299676436981304e-05;8.270261360724441e-05;8.32508608618752e-05;8.425590430759805e-05;8.433183484090173e-05;8.269074531555466e-05;8.050587034716358e-05;7.842045180865878e-05;7.570171601189056e-05;7.429583536638234e-05;7.327762644799856e-05;7.337757892250753e-05;7.52315662797873e-05;7.55375069071374e-05;7.561463341806698e-05;7.350613636466066e-05;7.130093771282941e-05;6.822455869739617e-05;6.584617792946929e-05;6.378768417267552e-05;6.314188586041066e-05;6.30708249508642e-05;6.273435586790212e-05;6.203251741919345e-05;6.074211946491298e-05;5.939877525044825e-05;5.79493841829896e-05;5.6484788409830256e-05;5.505250115649443e-05;5.382635070132445e-05
139.01578118509497;6.10333861987317e-07;6.598019797938645e-07;7.691842706696146e-07;1.2301967526634468e-06;4.321144512214535e-06;1.1273623926379424e-05;2.7363897534190817e-05;6.11111220362528e-05;0.0001425965814622;0.0002649847247502;0.0004444143321324;0.0006570962176445;0.0009083994755603;0.001137020795951;0.0013372559993603;0.0014293636697239;0.0014781310673392;0.001407872190511;0.0012835869551125;0.0010980584764725;0.0009073126280273;0.00072089631369;0.0005632485929584;0.0004346800641161;0.0003489142099866;0.0002804047323788;0.0002446438470436;0.0002214741073433;0.0002039118912741;0.0001903566138288;0.0001797891769863;0.0001711126488163;0.0001637863799713;0.0001576539169507;0.0001531845185498;0.0001491393871921;0.0001458148627446;0.0001426443054016;0.0001385307887542;0.0001347562180956;0.0001325781942491;0.0001300869638091;0.000127764913982;0.0001263099876761;0.0001240746728875;0.0001225311600236;0.0001209519804098;0.0001185102525796;0.0001163399983013;0.0001150361734858;0.0001139302373371;0.0001132404257762;0.0001107705853463;0.0001074619672367;0.0001034122383469;9.965986458146012e-05;9.740676455051648e-05;9.739591204230866e-05;9.709932973008576e-05;9.713298298643807e-05;9.482043868325388e-05;9.194882629650726e-05;9.02456783428226e-05;8.887462358763349e-05;8.969304838536173e-05;8.980809983690975e-05;8.962535632739795e-05;8.917897116701614e-05;8.854916699263411e-05;8.647757500571861e-05;8.384401973464224e-05;8.180984725887626e-05;8.079800148395331e-05;8.068173160615444e-05;8.019762868726698e-05;7.88261228753392e-05;7.648599403742724e-05;7.429494106812186e-05;7.196950012885119e-05;7.181261383134099e-05;7.271263159194505e-05;7.41148104930941e-05;7.62495655215404e-05;7.55386726321834e-05;7.433407321830158e-05;7.253852301440044e-05;7.046345842246582e-05;6.708798087996963e-05;6.403521134267123e-05;6.091678313870224e-05;6.05120200655448e-05;6.140487420351006e-05;6.218866945712157e-05;6.240970262158218e-05;6.129644633554677e-05;5.968335345341367e-05;5.793800615077746e-05;5.616233510634403e-05;5.476709908478709e-05;5.424453897754098e-05
141.1654501478988;8.052312267290247e-07;9.222929094766426e-07;1.1237853584904731e-06;1.4979016760924429e-06;4.575805913012136e-06;1.218565550974087e-05;3.058161412980268e-05;6.430482494655973e-05;0.0001391721441854;0.0002701229474813;0.0004273461560201;0.0006295074027483;0.0008584600439871;0.0010716811035647;0.0012651341536535;0.0013569772169996;0.0014012088516965;0.0013420502332651;0.0012183911291964;0.00104611610243;0.0008671562383505;0.0006896013383962;0.0005455803017104;0.00042632924712;0.0003460410844665;0.0002780417042861;0.000239357609474;0.00021728108529;0.0001966977494344;0.0001833179975964;0.0001731883446485;0.0001647957807765;0.0001574571347399;0.0001523812427942;0.000150037437022;0.0001487059622421;0.0001469299941737;0.0001436880584399;0.0001391473554408;0.0001346830853637;0.0001329627603598;0.0001305194626457;0.000127320627803;0.0001249938482469;0.000122368682549;0.0001209764665295;0.0001190941114677;0.0001151263386511;0.0001116639571541;0.0001096396504419;0.0001092773920892;0.0001098553750217;0.0001075225361429;0.0001052410626868;0.0001017351421209;9.880770510353124e-05;9.680786028260704e-05;9.491722008479528e-05;9.246842395728288e-05;9.057210405406136e-05;8.842450196035164e-05;8.810401662839238e-05;8.874387025822073e-05;8.96949876836588e-05;9.046894667714783e-05;8.883751187191373e-05;8.68731090871766e-05;8.475149054319104e-05;8.408601686415458e-05;8.426216217687718e-05;8.349522550188267e-05;8.270483045571689e-05;8.101855997514964e-05;7.916809034909901e-05;7.731866270698935e-05;7.55537950650568e-05;7.430790379482989e-05;7.330779708012275e-05;7.232796454301546e-05;7.244230695249063e-05;7.257002913006746e-05;7.313399047443006e-05;7.396165135980155e-05;7.326557044928873e-05;7.253050939694849e-05;7.151643886282191e-05;6.997837121112603e-05;6.71827515411971e-05;6.453010768926768e-05;6.185755743802226e-05;6.099385062683909e-05;6.154176708014285e-05;6.202665924606825e-05;6.235741519226444e-05;6.174018908128156e-05;6.028125065059666e-05;5.863920682140985e-05;5.68763492859345e-05;5.552037693909709e-05;5.55871332374397e-05
143.3144063595064;4.870421287616471e-07;6.007071805863085e-07;7.655820807744587e-07;1.3012385519819989e-06;4.729111065228824e-06;1.0693880454716522e-05;2.3030188546747545e-05;6.904683631740323e-05;0.000146251350137;0.0002551349461429;0.0003792173249738;0.0005868443507094;0.0008059995141904;0.0010168478881191;0.0011905148178528;0.0012591848758733;0.0013042975922848;0.001282916241058;0.0011507946322224;0.0009856425009657;0.0008164358109234;0.0006565853623967;0.0005335970543631;0.0004207176521036;0.0003337275803369;0.0002762251606073;0.0002408480074671;0.0002149863502457;0.0001906272624977;0.0001781738014014;0.0001679303381903;0.0001587218569639;0.0001522513785177;0.0001493140543311;0.0001480336087709;0.0001474182770871;0.0001452684832799;0.0001402649006134;0.0001344629669402;0.000128571128974;0.0001261309775741;0.0001232609256118;0.0001202963453229;0.0001196170736463;0.0001191998466421;0.0001195304414198;0.0001186774346674;0.0001146731552509;0.0001109883096724;0.0001079506767031;0.0001059733256092;0.0001054646031614;0.00010319037804;0.0001018083498665;9.938617068334386e-05;9.733454579820887e-05;9.572481852344616e-05;9.368862989473804e-05;9.08689238838984e-05;8.838609887383535e-05;8.59705003610261e-05;8.633137933941074e-05;8.726773505034201e-05;8.839288179656909e-05;8.846054745281656e-05;8.475568948545314e-05;8.088413367508614e-05;7.697284306824386e-05;7.618267852186803e-05;7.857118553422063e-05;8.038768440640003e-05;8.177169366946292e-05;8.01946945013401e-05;7.738788022324558e-05;7.468124742476893e-05;7.286998877760885e-05;7.293742117719972e-05;7.315392944539716e-05;7.331473604394519e-05;7.374760361410966e-05;7.313022622387484e-05;7.277744126326307e-05;7.26096503747221e-05;7.237848615884363e-05;7.265173553245324e-05;7.256298085037278e-05;7.110726964182265e-05;6.849072285020224e-05;6.573136979474124e-05;6.325550265221002e-05;6.150647852008841e-05;6.121280229966344e-05;6.1020405485998506e-05;6.12876601664048e-05;6.111472272715773e-05;6.039661958555251e-05;5.976257559384537e-05;5.906666863441198e-05;5.824176773266639e-05;5.827781501023267e-05
