FileName;diisooctyl azelate_56
MeasName;56
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-07T20:01:36Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;7.369815351013023e-07;8.325045239620199e-07;8.95616444776901e-07;9.312768407981772e-07;9.69995279820138e-07;1.0216126336635176e-06;1.0543181397497428e-06;1.0384678348974228e-06;9.887988539701974e-07;9.636070656505557e-07;9.684357283244076e-07;9.612359851965769e-07;9.194498803657708e-07;8.332292738163993e-07;7.546698695974714e-07;7.290748398471501e-07;7.591800663141765e-07;7.694892919575301e-07;7.936346347591283e-07;8.17604909672741e-07;8.407799446586551e-07;8.589616931947859e-07;8.588695501633406e-07;8.254061186272737e-07;7.765630138019154e-07;7.641491296918147e-07;7.629148604517514e-07;7.417754203931675e-07;7.095092014721504e-07;6.775584951899173e-07;6.617096775271795e-07;6.791439078510459e-07;6.868377664314089e-07;6.843045136615797e-07;6.643716945239563e-07;6.414614710520983e-07;6.508137027886467e-07;7.611703408418093e-07;9.530745240341729e-07;1.3126217601452103e-06;2.716735154991472e-06;7.83346825041845e-06;2.327057079138873e-05;6.123330725590083e-05;0.0001355791264362;0.0002589836896413;0.0004393990973482;0.0006824132331941;0.0009865314734009;0.0013446028484957;0.001739810788222;0.0021464439138919;0.0025349131397949;0.0028823545425027;0.0031711306602288;0.0033905218497243;0.003534341549545;0.0036053058995081;0.0036123023313104;0.0035694510540053;0.0034931502808915;0.0033965736175043;0.0032897250577097;0.0031811206699851;0.0030779502741108;0.0029846689231428;0.0029031598529464;0.002833700294628;0.0027757830728618;0.0027282541848686;0.0026896242028453;0.0026573466883379;0.0026291439551726;0.0026033170997888;0.0025788415611018;0.0025550975594189;0.0025315098154196;0.0025075911976475;0.0024832107313388;0.0024587671046581;0.0024352909331034;0.0024136439750121;0.0023939836428036;0.00237583378542;0.0023582333673602;0.0023404864744526;0.0023217410170433;0.0023040596226404;0.0022857504847182;0.0022687197601093;0.0022532795878542;0.0022400336655374;0.0022271977571374;0.0022148989831512;0.0022023599212478;0.0021892313439037;0.0021753036575342;0.002161100850484;0.0021476635021527;0.0021360632432542
129.18959229751636;7.95264344809121e-07;8.580451051809846e-07;8.758264322412154e-07;8.654135853762508e-07;8.499273638305088e-07;8.320352146750164e-07;8.181399217314579e-07;8.104776968191915e-07;8.121757569444872e-07;8.229334347674962e-07;8.20188928707731e-07;7.807682988181593e-07;7.277830321915657e-07;6.332838723463745e-07;6.107383693838852e-07;6.746450447268863e-07;7.71643847593761e-07;8.759689471011123e-07;9.745929460595816e-07;1.045560818424606e-06;1.0707733509088817e-06;1.0434614297535618e-06;9.678277002026183e-07;8.649068350348959e-07;7.870233040353326e-07;7.857573635304676e-07;8.198667572337195e-07;8.389144709454431e-07;8.47887441291849e-07;8.469081415425534e-07;8.285242872767372e-07;7.874787191940655e-07;7.265147817873702e-07;6.604575610324924e-07;6.001173407663274e-07;6.089245114426033e-07;7.454119824488319e-07;1.0254198956259504e-06;1.4047708028191336e-06;1.94104800380463e-06;3.5470439098356e-06;8.656773029411042e-06;2.337855649782184e-05;5.9989136270355485e-05;0.0001323235617888;0.0002511991943065;0.0004245615188043;0.0006584036331338;0.0009501454290979;0.0012938673439371;0.0016738838838156;0.0020651270944635;0.0024402766143521;0.0027783334405561;0.0030620480919184;0.0032805360562532;0.00342751301731;0.0035054366957298;0.0035226105025315;0.0034920567399157;0.0034285885281953;0.0033435454626596;0.0032465025151766;0.0031460164332037;0.003048483154717;0.0029578383787718;0.0028763734640208;0.0028053767301209;0.0027453142319499;0.0026959905334176;0.0026576044869846;0.0026287428760339;0.0026071976678058;0.0025896516005059;0.0025730150839612;0.0025542780159521;0.0025336208337559;0.0025108664512922;0.0024864964763042;0.0024614657609711;0.0024364334901738;0.0024143872806147;0.00239491117216;0.0023768740086811;0.0023585585942645;0.0023386207274198;0.0023166232273201;0.0022933501074861;0.0022703319201267;0.0022489155890228;0.0022311269781033;0.0022184834684086;0.0022078514004405;0.002197863043516;0.0021885769950299;0.0021801885450701;0.0021701468099052;0.002158604522664;0.0021467275251448;0.0021359904023868
131.33142972264977;1.2211059374820423e-06;1.193030942788252e-06;1.111175233966185e-06;9.93104918541294e-07;8.554072079481282e-07;7.150585930534017e-07;6.090628884776528e-07;5.626110886845937e-07;5.789567686655466e-07;6.418243598929967e-07;7.212156789550054e-07;7.896321163356001e-07;8.246930195667789e-07;8.36037479885607e-07;8.338763885748821e-07;8.360571606758628e-07;8.172363247855323e-07;8.683731826022006e-07;9.456168024445876e-07;1.0272962723893e-06;1.068288479233222e-06;1.0440290949527354e-06;9.861257859824231e-07;9.04360785003896e-07;8.62162021377037e-07;8.708164405021965e-07;8.998925784408533e-07;9.23343745890814e-07;9.532953137344198e-07;9.82513065480492e-07;9.8081448901036e-07;9.271870955992096e-07;8.220943642284651e-07;6.90200989175469e-07;5.994568479975454e-07;6.472675153328873e-07;8.491499168531317e-07;1.1686867102766952e-06;1.534773116783431e-06;2.0413757897197643e-06;3.6655086267325146e-06;8.893556010489656e-06;2.3437485851168334e-05;5.815507227452603e-05;0.000125531068229;0.0002367663964802;0.0004000288367507;0.0006220184795282;0.0009024229110668;0.0012349221977794;0.0016031942259793;0.0019841121126709;0.0023530995806064;0.0026900038031065;0.0029767978459625;0.0032021950173306;0.0033593199326251;0.0034487753173638;0.0034764762932563;0.0034537446614928;0.0033941963120097;0.0033101125139172;0.0032118404487462;0.0031084516859662;0.0030116813595729;0.0029228852788199;0.00284428615288;0.0027765578079676;0.0027193018935774;0.002671562307797;0.0026327444280907;0.0026022094002347;0.002579835380964;0.0025630891903373;0.0025481803502055;0.0025324850858834;0.0025152216649818;0.0024956305535106;0.0024739619357428;0.0024510441534632;0.0024284313731519;0.0024072937346605;0.0023878519018682;0.0023696595210339;0.0023515331909469;0.0023319112436419;0.0023111902418204;0.002286917579402;0.0022617712238485;0.0022372604000331;0.0022153067762738;0.0021972708574103;0.0021821182260253;0.0021683945518368;0.0021574285146116;0.002148158821041;0.0021399541665044;0.0021323713565352;0.0021250257280948;0.0021173193732999
133.47260691138217;8.928470367941447e-07;9.093429475052136e-07;8.814327529422104e-07;8.13899706894856e-07;7.192038700809269e-07;6.169793788559483e-07;5.278880595376508e-07;4.607183370995126e-07;4.27163309217253e-07;4.519673958358384e-07;5.214779127814111e-07;6.112169570897672e-07;6.875743270394918e-07;7.414025206371029e-07;7.458198616672429e-07;7.090132309182187e-07;6.584147813517216e-07;6.2819283354324e-07;6.293886966272003e-07;6.424587612400767e-07;6.440334190845516e-07;6.24580782451858e-07;6.01486871381481e-07;5.838905929933809e-07;5.665594840854928e-07;5.541031149240464e-07;5.405692976260359e-07;5.305580615658683e-07;5.413761395673025e-07;5.645000398115203e-07;5.789954438427124e-07;5.700808770385285e-07;5.390956333010837e-07;4.986654906646712e-07;4.849529628777549e-07;5.693550284036985e-07;7.722620231410966e-07;1.0493374114482883e-06;1.3478040188184096e-06;1.7866551052569956e-06;3.1141018443517057e-06;7.782090903464219e-06;2.162427564788412e-05;5.4676616862758766e-05;0.0001182565110946;0.0002240626113258;0.0003810408767152;0.0005971654306581;0.0008728738977999;0.0012004005557265;0.0015621286978798;0.0019361622389436;0.0022999722593638;0.0026339721608851;0.0029199621584102;0.0031462564891431;0.0033056329043096;0.0033983680392635;0.0034296380059716;0.00341020674405;0.0033522987732502;0.0032682209549662;0.0031703391798593;0.0030703914396348;0.0029757820205888;0.0028908012400078;0.002817904856078;0.0027569845370152;0.002706307966707;0.0026635348457095;0.0026264937728182;0.0025940736390266;0.0025662295699494;0.0025425381144662;0.0025218930605669;0.0025028471238333;0.0024841333746498;0.0024649527285464;0.0024458700596235;0.0024257487598224;0.0024049428126451;0.0023839623970183;0.0023637172917419;0.0023449083545721;0.0023275045989602;0.0023106309424088;0.0022929153678618;0.0022739491887369;0.0022544128069596;0.0022353532067675;0.0022168556236586;0.0021977666883368;0.0021795675222186;0.0021622981800087;0.0021461365718874;0.0021308395769719;0.0021153322816849;0.0021030614031234;0.0020923082918708;0.0020829392711311
135.61312380366144;5.08618354042738e-07;6.396784287258919e-07;7.262355526841698e-07;7.960917388061315e-07;8.216581790069175e-07;7.880997973502276e-07;7.097161338492129e-07;5.933456470000097e-07;4.646154887004193e-07;3.897527776998198e-07;3.890855993502881e-07;4.394874913808592e-07;5.066504189292858e-07;5.640370257713447e-07;5.933421910772034e-07;5.855302495622962e-07;5.486500123815233e-07;4.947431856306713e-07;4.3038417069278243e-07;3.666272871224937e-07;3.246996997939782e-07;3.2931075080166565e-07;3.5515512527247706e-07;3.897196667553557e-07;4.0341834949760876e-07;3.931061802554421e-07;3.665126773528184e-07;3.410920604107309e-07;3.2333945259626334e-07;2.961870581849112e-07;2.857918884406931e-07;2.9580096557826653e-07;3.24517102795826e-07;3.690868870974637e-07;4.1840307491010347e-07;4.734697656095684e-07;5.634967099316417e-07;6.675576119357631e-07;7.744456137415378e-07;1.103873153524624e-06;2.487585494097e-06;7.274166965211236e-06;2.071418469480268e-05;5.2098863953984405e-05;0.0001132429044384;0.0002148287748627;0.0003662060340305;0.0005756196480836;0.0008437134794552;0.0011642337565789;0.0015206104074476;0.0018910167344744;0.0022523137529006;0.0025833787821957;0.0028666254389634;0.0030904935641845;0.0032475717864801;0.0033389114382875;0.0033704100108855;0.0033534090737506;0.0033005472640696;0.0032245446602305;0.0031372377871336;0.0030483547150843;0.0029642391617717;0.0028881900185097;0.0028216909121437;0.0027645408968246;0.0027149969533953;0.0026710627501232;0.0026310020541733;0.0025942813641636;0.0025611574219268;0.0025317435855055;0.0025060875346411;0.0024830049162665;0.002461442523007;0.0024402919527092;0.0024187943266972;0.002396769295563;0.0023743863311124;0.0023522652091292;0.0023315208042945;0.0023126971869409;0.0022955030588454;0.002279345787145;0.0022628086894861;0.0022471313418053;0.0022330463588649;0.0022204503476481;0.0022084419555491;0.0021947535595481;0.0021810648989523;0.0021657441319715;0.0021477701835835;0.0021285021507472;0.0021079819711163;0.0020875650770034;0.0020690736254395;0.0020545515432872
137.7529803396901;4.788835655007246e-07;6.832919620080177e-07;9.068649318711314e-07;1.1117679039892072e-06;1.263199519127249e-06;1.3358122903661945e-06;1.315976703708408e-06;1.2058136454441013e-06;1.0306709819330456e-06;8.524179008126487e-07;7.298018577708807e-07;6.83380339206797e-07;6.903316751615948e-07;7.151698612035081e-07;7.30505620836159e-07;7.174967538114847e-07;6.750480840985693e-07;6.246042212066466e-07;5.910948753755735e-07;5.951173824422787e-07;6.489279003542243e-07;7.478009889264872e-07;8.625411176755027e-07;9.505835975039156e-07;1.0017192606650382e-06;1.025800412614722e-06;1.0353734363735854e-06;1.0395012423502282e-06;1.0229469041162776e-06;9.842343469297331e-07;9.323982428292788e-07;8.629707208949743e-07;7.839201676675019e-07;6.995419084747871e-07;6.273856903122556e-07;6.138028149025112e-07;6.846672268509075e-07;8.031729567995461e-07;9.117229914052916e-07;1.1913368112708292e-06;2.5214454925722287e-06;7.212512788727928e-06;2.086003514933304e-05;5.143235158863492e-05;0.0001104978158597;0.0002094988794173;0.0003574143192987;0.0005610684713195;0.0008208449483297;0.0011313503594374;0.0014779761923339;0.0018398085401094;0.0021946242349201;0.002520589667197;0.0028008900708146;0.0030245019308449;0.0031840986527214;0.003279764541083;0.0033168513528876;0.0033059127649586;0.0032603555735926;0.0031929603482803;0.0031147749996778;0.0030344300494876;0.0029566621406367;0.0028843331578975;0.0028181458566036;0.0027580215987596;0.0027034740191574;0.0026544042109528;0.0026106916724902;0.0025724686122496;0.0025398355036791;0.0025127209723673;0.0024902005773773;0.0024703804744004;0.0024513760719263;0.002431519785476;0.0024090812591632;0.0023857156641689;0.0023624693784399;0.0023404628106233;0.0023202922656727;0.0023016765465217;0.0022837205958954;0.0022658192439103;0.0022483037263645;0.0022322293166185;0.0022183994731778;0.002206760487184;0.0021957493005345;0.00218384591218;0.0021708382448221;0.002156851426504;0.0021416053557463;0.0021250993899431;0.0021101481511919;0.0020928361942117;0.0020789969727875;0.0020690754089544
139.8921764599363;7.89966027525218e-07;9.148547152912972e-07;1.1171427189587346e-06;1.324841237901942e-06;1.5182614353061888e-06;1.6653252881333878e-06;1.718253835206672e-06;1.661820556731189e-06;1.5111293736351252e-06;1.2967071455576295e-06;1.064942144694242e-06;8.998650645116007e-07;7.937009999540725e-07;7.398685141802716e-07;7.103696342861227e-07;6.757246422087022e-07;6.353973738593738e-07;6.196647675429056e-07;6.667753875012206e-07;7.971656047876543e-07;9.848436102594406e-07;1.1745144208829695e-06;1.3267037022982907e-06;1.4134620081736455e-06;1.4644067040861565e-06;1.4967676114438763e-06;1.5290881996478777e-06;1.5694372105203495e-06;1.5924873075088686e-06;1.6251226817962994e-06;1.6254568162328485e-06;1.551974633960631e-06;1.4096216118220863e-06;1.2245347648943086e-06;1.0686484663180758e-06;1.042869486899231e-06;1.1930250859631998e-06;1.4345007156763386e-06;1.6496346257028124e-06;1.906633019004992e-06;2.808748745896868e-06;6.627802489707556e-06;1.9470984263601624e-05;4.934986381626525e-05;0.0001073959397707;0.0002054723514577;0.0003522395621662;0.0005533310802808;0.0008080348260666;0.0011098864092368;0.001445837241489;0.0017968760587297;0.0021427704749292;0.0024623784725374;0.0027393915927606;0.0029634603716998;0.0031279347804974;0.0032317048603357;0.0032784060717036;0.0032758354573471;0.003236122419776;0.0031711818773567;0.0030932177838505;0.0030109812010811;0.0029262230499478;0.0028463017290633;0.002774209973929;0.0027119978855299;0.0026584907439147;0.0026131704717175;0.0025758286199691;0.0025450800024944;0.0025191479031956;0.0024973735650629;0.0024778612466102;0.002459843904036;0.0024417231402197;0.002422776332823;0.0024030903978877;0.0023829338760278;0.0023627848065965;0.0023433842131205;0.0023248275172305;0.0023063843012691;0.0022877846204167;0.0022692850075981;0.0022514269838684;0.0022348562727691;0.0022199260821683;0.0022062171216476;0.002192731036311;0.0021781085585963;0.0021627417726233;0.0021479347980298;0.0021339998465705;0.0021213535990122;0.0021108843957486;0.0021021846295628;0.0020957233676034;0.0020917065593424
142.03071210513372;9.353102577075068e-07;9.043650591721242e-07;9.139911609804325e-07;9.684552990725902e-07;1.0394204697592534e-06;1.1007680858868188e-06;1.1464597676377464e-06;1.1595121703253635e-06;1.1139486527626332e-06;1.0173600309998742e-06;9.119095786128083e-07;7.806637532059998e-07;6.527350024106655e-07;5.654621875325817e-07;5.128060310925072e-07;4.680403462993584e-07;4.315061665299927e-07;4.36211299838941e-07;5.035177919036076e-07;6.34043788690832e-07;8.034913139833606e-07;9.734548739950113e-07;1.1079352894471712e-06;1.1911548441654605e-06;1.2367346768949949e-06;1.2626532320937923e-06;1.27653473228809e-06;1.2840020265548566e-06;1.289862666311615e-06;1.3070376662175468e-06;1.3156239255610397e-06;1.2866526244906498e-06;1.214919117869482e-06;1.124584279691754e-06;1.068266733357045e-06;1.0724723813245135e-06;1.1497367420176569e-06;1.2626106382863107e-06;1.3580167367678124e-06;1.5542681684250054e-06;2.487561491027499e-06;6.113447340921859e-06;1.774075298619477e-05;4.609574843524523e-05;0.0001028857868796;0.0001987295823213;0.0003415195368519;0.0005367802400432;0.0007839010545757;0.0010785046661989;0.0014090388611146;0.0017555369417337;0.0020972870218279;0.0024148323827141;0.0026925830879557;0.0029190219609926;0.0030865536015424;0.0031944310640052;0.003246475984119;0.0032499174206586;0.0032159254190437;0.0031540900133891;0.0030759575125981;0.0029914026876232;0.0029086445646371;0.0028326206844058;0.0027658828866222;0.002709702313557;0.0026637159862364;0.0026257836639325;0.0025935312246359;0.0025640252379397;0.0025359592603702;0.0025090633445012;0.0024833920388433;0.0024592418939602;0.0024367657251724;0.0024164071465581;0.0023983817287659;0.0023819800206413;0.0023664101592133;0.0023506129083035;0.0023338717222228;0.0023160230855506;0.0022972706982968;0.0022781804249945;0.0022594397233817;0.0022417798175431;0.0022258934841505;0.0022116717812015;0.0021988675518147;0.0021867949265321;0.0021740530069306;0.0021605778650143;0.0021467861917358;0.0021333708832418;0.0021214177801467;0.0021125404135251;0.002104293978933;0.0020974842091898
144.16858721627432;7.62415909505763e-07;6.860097792131235e-07;6.11596681412296e-07;5.51563263707243e-07;4.902591243272201e-07;4.518131410615739e-07;4.798777088900701e-07;5.66579095720008e-07;6.604943162989768e-07;7.144983608652603e-07;7.670026456937245e-07;7.551066220610436e-07;7.141444213628e-07;6.599002335516077e-07;6.020149217883286e-07;5.355522671041738e-07;4.741601012174203e-07;4.5353920330233405e-07;4.7936957941436e-07;5.410632501537069e-07;6.293305179593451e-07;7.31524618597791e-07;8.082417647608747e-07;8.479962461809728e-07;8.524957335770196e-07;8.354841532386154e-07;8.042386491460038e-07;7.622926697258325e-07;7.295399738092193e-07;6.925418568048697e-07;6.525633007430613e-07;6.138039845491837e-07;5.77548883730157e-07;5.501862555345801e-07;5.384355306587777e-07;5.280797097652697e-07;5.237597962443606e-07;5.368087395645078e-07;5.814054546351709e-07;8.475055269788923e-07;2.094009411896704e-06;5.985855708381331e-06;1.695237817409858e-05;4.388905334901538e-05;9.861504262712148e-05;0.0001910102484782;0.0003281426651333;0.0005165373516306;0.0007573189745593;0.0010472459393321;0.0013748735954446;0.0017195510487501;0.0020599508817268;0.0023777718078676;0.0026572531040859;0.0028854481556006;0.0030535443613147;0.0031609248350915;0.0032124281567635;0.0032171055382849;0.0031871386258285;0.0031311875065945;0.0030597135342596;0.0029836458617036;0.0029113623731384;0.002845981931695;0.0027881910481215;0.0027382017299105;0.0026954347289681;0.0026580293090264;0.002623826438152;0.0025905937737535;0.0025575059121159;0.0025247425311158;0.0024927235695321;0.0024624851453403;0.0024351879866206;0.0024117857566557;0.0023936776032404;0.0023803473119511;0.0023695486224421;0.0023586274327178;0.0023458254411309;0.0023308410638757;0.0023134284790907;0.0022937839216169;0.0022727959643832;0.0022513923219062;0.0022323871530066;0.0022167327400052;0.0022027050907363;0.0021903135677606;0.0021772951103094;0.0021631055596339;0.0021480713246691;0.0021327974216691;0.002117859800485;0.002104320894154;0.0020929052832042;0.0020840755819941
