FileName;epoxidized linseed oil_61
MeasName;61
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-07T20:11:19Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;4.616120450749288e-07;4.45449412797604e-07;4.300371310113198e-07;4.336565435595632e-07;4.592127847613389e-07;5.197512492502078e-07;6.183584324553095e-07;7.354058502493953e-07;8.486945175434186e-07;9.39448635642606e-07;9.86976528298539e-07;9.73361526828107e-07;8.960306234507958e-07;7.595832957217647e-07;6.550829978358998e-07;6.00801018576091e-07;6.199300736147563e-07;6.980993081872951e-07;7.995945545501793e-07;9.074829150746336e-07;1.0017926583461258e-06;1.0617361131827344e-06;1.066065171345106e-06;1.0020933239377088e-06;8.830014410447776e-07;7.421453295681107e-07;6.16178093662716e-07;5.151903251090735e-07;4.274384526538683e-07;3.749640036476597e-07;3.678687956614154e-07;3.781723613785414e-07;4.116649058216807e-07;4.5251510659147386e-07;4.997142032210378e-07;6.182192280705385e-07;8.108706254181033e-07;1.0494008186777016e-06;1.3446376211324785e-06;1.8188669816575532e-06;3.42675648968844e-06;8.658845348193683e-06;2.2432773017841664e-05;5.333856772297376e-05;0.0001102473666102;0.0002001710178115;0.0003255871563623;0.0004839736861473;0.000667051370943;0.0008635179349841;0.0010580369590524;0.0012320632229138;0.0013674247583059;0.0014537053687931;0.0014865356581783;0.0014686510448247;0.0014064761637697;0.0013093040509627;0.0011878970073346;0.0010541012274782;0.0009195970883479;0.0007934068892549;0.0006810477907914;0.0005859146311036;0.000508928729985;0.0004491594193419;0.0004043761195602;0.0003714416198184;0.0003474463746606;0.0003295987215763;0.0003154930708455;0.0003032431412448;0.0002924989447957;0.0002834335884193;0.0002761144884478;0.0002703139254372;0.0002655339605974;0.0002611958704077;0.0002567278059669;0.0002517988843945;0.0002463140004721;0.0002403587629413;0.000234298504297;0.0002285821415982;0.0002236507549486;0.000219687213298;0.0002165975771662;0.0002140649367029;0.0002117044211766;0.0002092738963425;0.0002066763582851;0.0002037629624708;0.000200115812045;0.0001958068204908;0.0001915489278292;0.0001873754526183;0.0001835611053707;0.0001802317513418;0.0001773919967332;0.0001750286332054
129.18959229751636;6.116013178572268e-07;6.440305196453612e-07;6.551154023108517e-07;6.652754000762323e-07;6.96841271775862e-07;7.630452391592077e-07;8.582544517417058e-07;9.282413841600588e-07;9.89830218097266e-07;1.049692208739494e-06;1.0787193248820569e-06;1.0884007023564974e-06;1.0285380831994142e-06;9.598158986227782e-07;8.618880605406675e-07;8.304041257053099e-07;8.599957413277278e-07;9.106604557042832e-07;9.4104928586756e-07;9.385831262570222e-07;9.0444128217434e-07;8.41116479063173e-07;7.627705185179875e-07;6.502817985466007e-07;5.33617766717453e-07;4.499119327576891e-07;3.988130095548527e-07;3.739457565328788e-07;3.684648487261783e-07;3.858754365610987e-07;4.058457766588014e-07;4.124886918176857e-07;4.106650992807039e-07;3.941984562098728e-07;3.785990325695278e-07;3.675510444444178e-07;3.739424096179089e-07;4.287759173270186e-07;5.577029862217274e-07;9.146683469373564e-07;2.690786945703185e-06;8.437673927670896e-06;2.31722885928932e-05;5.515471671783152e-05;0.0001121074584821;0.000199752460498;0.0003192010407874;0.0004673662991942;0.0006375114948026;0.0008202296899322;0.0010016057397695;0.0011642263750586;0.0012914639235909;0.0013742369483792;0.0014084527464743;0.0013959144863014;0.0013414283022949;0.0012528788120463;0.0011402304556264;0.0010151106052286;0.0008887218504417;0.0007692793119177;0.0006619417730824;0.0005702765297466;0.0004955892637462;0.0004376731237971;0.0003947158742252;0.0003637488287856;0.0003417956401486;0.000325894050246;0.0003132060318637;0.0003017880461647;0.0002913367999061;0.0002819523316325;0.0002737058877682;0.0002675348453337;0.0002626704876129;0.0002586625873892;0.000254942852276;0.0002512827019042;0.0002471262516126;0.0002420423147395;0.0002363348301464;0.0002305386125503;0.0002252121933738;0.000220769713112;0.0002172640555656;0.0002140727622031;0.0002107905532424;0.0002065901074491;0.0002019715005039;0.0001975123716067;0.0001936115743385;0.0001901356535607;0.0001871118470241;0.0001845820082862;0.0001824047588153;0.0001815910328775;0.0001806205216686;0.0001796962116638
131.33142972264977;9.83961410777332e-07;1.007872991069455e-06;9.691039887730396e-07;9.137385268838224e-07;8.460869281207548e-07;7.65460290503284e-07;6.95716954706615e-07;6.433289763252079e-07;6.266886405592848e-07;6.634906576648105e-07;7.865964306060193e-07;9.245620109014848e-07;1.0281368336717971e-06;1.141841989534831e-06;1.2003668744612095e-06;1.2535880758320038e-06;1.3038175097291814e-06;1.2962234805017082e-06;1.2446616281831108e-06;1.1436529084883429e-06;1.0106093148235073e-06;8.792748654435946e-07;7.499625838225248e-07;6.26266541432043e-07;5.102721737116634e-07;4.1718172066280537e-07;3.676187476140079e-07;3.6404722198106777e-07;3.9139889809669897e-07;4.3442555019984483e-07;4.822960227881057e-07;5.251720320558464e-07;5.522965458636901e-07;5.701630211284164e-07;5.918130284183718e-07;5.950008204908997e-07;5.711559423498951e-07;5.404478188399168e-07;5.366586194898519e-07;7.902286125341801e-07;2.6331401894294485e-06;9.023802702369988e-06;2.468640737520677e-05;5.667632972204511e-05;0.0001117774673532;0.0001943514127693;0.0003064919622494;0.0004461565646109;0.0006081970822944;0.000784073939688;0.0009595120204723;0.0011180306947628;0.0012442150334217;0.0013284525621618;0.0013651096723605;0.0013547666950588;0.0013014270680782;0.0012135916452234;0.0011019849047888;0.0009794547068589;0.000856967448602;0.0007423566280638;0.0006401936074071;0.0005535151994142;0.0004830582860443;0.000428204790907;0.0003870482160295;0.0003570408657168;0.000335345665335;0.0003191754179094;0.000306096479119;0.000294676386221;0.0002836596899407;0.0002729718548618;0.0002632602409346;0.0002550322405311;0.0002485399053836;0.0002437590866628;0.0002403145603718;0.0002377128694015;0.0002353207587885;0.0002328269281;0.0002299103309287;0.0002257889299048;0.0002209237215838;0.0002158958763189;0.0002109301419746;0.0002060219402399;0.0002011303866232;0.0001963529248276;0.0001923888261128;0.0001889127113739;0.0001861937259187;0.0001846166367744;0.0001837418048826;0.0001835628852172;0.0001838306594738;0.0001843538979491;0.0001848431082247;0.0001850487166588
133.47260691138217;1.0455302320600025e-06;9.775074008083385e-07;8.85097960291178e-07;7.730868586420964e-07;6.467704811733914e-07;5.251975388345009e-07;4.3755934907607253e-07;3.886160310389438e-07;3.874058748214144e-07;4.5740902924486514e-07;5.889056340047029e-07;7.425744430558146e-07;9.240136804305974e-07;1.055704475385417e-06;1.1154919471877756e-06;1.1303421992477231e-06;1.1004763564284565e-06;1.0341412146328977e-06;9.47129118562502e-07;8.646016108892788e-07;8.024068466890056e-07;7.570368871864192e-07;7.028642394333058e-07;6.603584838133049e-07;6.075072434324308e-07;5.263443474407188e-07;4.57659036029629e-07;4.199376093169119e-07;4.269726530823713e-07;4.667101931907644e-07;5.248852387930174e-07;6.00129683002285e-07;7.029268237502685e-07;8.301232773942438e-07;9.410178552520728e-07;9.953863522175205e-07;9.844798689907682e-07;9.324762445687844e-07;8.844483538994301e-07;1.0870303952153168e-06;2.5972637022596185e-06;8.21138567904981e-06;2.2617533969155923e-05;5.2601542614560455e-05;0.0001048268542455;0.0001839245219191;0.000292116830083;0.0004296912424252;0.0005911716075827;0.0007673633525613;0.0009426482132121;0.0010999701701568;0.001224511763632;0.0013068395317345;0.0013412776935232;0.001328535818043;0.0012729767585537;0.0011839166473463;0.0010726714455847;0.0009522404578326;0.0008327196315858;0.0007213135404247;0.0006223891488437;0.0005387655054055;0.000470638650181;0.0004169032111731;0.0003754646267096;0.0003449422378049;0.0003228322673812;0.0003064633865832;0.0002937009588827;0.0002835861871968;0.0002740166466709;0.0002643782309458;0.0002550367358586;0.0002464864047571;0.0002391656646604;0.0002334402225743;0.0002293362557054;0.0002263994783249;0.0002243698558393;0.0002229027665973;0.0002214637662298;0.0002192559082905;0.0002157255864257;0.0002111521689907;0.0002060684220432;0.0002010486166898;0.0001965006115637;0.0001925441241037;0.0001892105004118;0.0001864127257706;0.000184054464253;0.000182343459971;0.0001811984966138;0.0001805694445589;0.0001805259217706;0.0001799249032602;0.0001793580617472;0.0001787919175875
135.61312380366144;8.01861448410134e-07;7.214116125702584e-07;6.869641675068239e-07;6.454204684527177e-07;5.944895142519049e-07;5.593631060385388e-07;5.33900918783496e-07;5.17014239468655e-07;5.094123182215492e-07;5.148912360329325e-07;5.240747345229558e-07;5.483259933294847e-07;6.340238629139164e-07;7.09318612441361e-07;7.736733134754387e-07;7.93023518144397e-07;7.606034153818766e-07;7.402924163150159e-07;6.957678135643472e-07;6.505795887381961e-07;6.215245995016596e-07;6.056946291713803e-07;5.875696996181257e-07;5.602895441424738e-07;5.255107001831882e-07;4.838499325111003e-07;4.411723513569581e-07;4.105560714156703e-07;3.993849917195347e-07;4.072381426534759e-07;4.243390004872252e-07;4.6046263938327645e-07;5.460579771670182e-07;6.790140069487906e-07;8.0513907164227e-07;8.788755899342278e-07;8.960648990939548e-07;8.727553299243489e-07;8.325968875613843e-07;1.023041238080987e-06;2.3572593520999467e-06;7.1304432537699145e-06;2.009276370310471e-05;4.753330386728295e-05;9.661405131820216e-05;0.0001731218086609;0.0002792188553918;0.0004140112459362;0.0005724643449542;0.0007449520442664;0.0009168926671204;0.0010718656884029;0.0011951421706551;0.0012764747039264;0.001310121176062;0.0012973483070676;0.0012431451712207;0.0011569881282378;0.0010497449533328;0.0009333258266091;0.0008173117278442;0.000708512343259;0.0006111529227315;0.0005282531637809;0.0004602587328123;0.0004065798689451;0.0003655924368353;0.0003351689491058;0.000313439375865;0.0002983570241835;0.0002878036345622;0.0002798522443352;0.0002731702155835;0.0002668013779204;0.0002600176818953;0.0002528910708112;0.0002458921689402;0.0002394679084994;0.0002338676587652;0.0002290600877591;0.0002249034235239;0.0002212026300018;0.0002176570922266;0.0002140384029043;0.0002100970448521;0.0002059253873533;0.0002020298104834;0.000198818331413;0.0001962319881742;0.0001935933543926;0.0001906862071585;0.0001877484143262;0.0001847983209842;0.0001820324656348;0.0001792876570556;0.0001770473229051;0.0001752093040242;0.0001737408103882;0.0001726661180149;0.000171922107308
137.7529803396901;5.527283329506294e-07;5.573763602808346e-07;5.912393694579402e-07;6.401900576797924e-07;6.884278451881374e-07;7.181164151170223e-07;7.086253631425018e-07;6.74111105977317e-07;6.176309998119942e-07;5.358448248697933e-07;4.6363340927312933e-07;4.1665233846447377e-07;4.2099132613078396e-07;4.995097221060705e-07;6.525450584347393e-07;8.13735991926107e-07;9.40383952091391e-07;1.0095124529217297e-06;1.0164001160632824e-06;9.60399407337273e-07;8.541768380316295e-07;7.238810970273807e-07;5.905724986114327e-07;4.69250324603075e-07;3.865249245490858e-07;3.588614549528272e-07;3.640688961877757e-07;3.890840290595104e-07;4.1463174181644994e-07;4.186397268447176e-07;4.110066134981772e-07;4.008782231039541e-07;4.186101796864058e-07;4.682441319067285e-07;4.972450224728281e-07;4.959909162468515e-07;4.788759117689119e-07;4.636699447494671e-07;4.510487961053408e-07;6.320989155970496e-07;1.8690843811783373e-06;6.377465846673601e-06;1.875963479158572e-05;4.506267034927252e-05;9.208032146300294e-05;0.0001656634364066;0.0002683167718196;0.0003991080677854;0.0005520225644107;0.0007174105743725;0.000882137502735;0.0010314565620774;0.0011517205991591;0.0012318300982689;0.00126571327057;0.0012546361961046;0.0012035719642361;0.001121499715436;0.0010184442826587;0.0009049356319252;0.0007910254684902;0.0006847726919609;0.0005912874930271;0.0005128482416822;0.0004491483390677;0.0003991904532935;0.000361331018831;0.0003334266944078;0.0003134034759369;0.0002990530319386;0.000288591145271;0.0002797557797554;0.0002723560886822;0.0002660342463011;0.0002603218914168;0.00025427589848;0.0002485808566886;0.0002435771222542;0.0002380109764609;0.0002326178134535;0.0002269747083778;0.0002210171584003;0.0002149286884632;0.0002090615989292;0.0002038813687463;0.0001997306091492;0.0001967378758765;0.0001949680952573;0.0001939270659075;0.0001930090158693;0.000191670950953;0.0001901017627763;0.0001879415600081;0.0001851039726903;0.0001818773623685;0.000178640255755;0.0001756029101236;0.0001731032760058;0.0001715671180841;0.0001707385854922
139.8921764599363;2.822774274098553e-07;3.6168719516411633e-07;4.523650522759559e-07;5.365472942648139e-07;6.084363967916683e-07;6.584012296031148e-07;6.714641203410698e-07;6.388551962178e-07;5.642071762601349e-07;4.762293205816506e-07;4.1097755870076526e-07;4.014809668556692e-07;4.107555378012397e-07;4.775227414740629e-07;6.2578700789436e-07;8.266424947145049e-07;1.0107357821468307e-06;1.107963993871743e-06;1.1260984697166315e-06;1.0657771217450664e-06;9.505334096891764e-07;7.972594508639528e-07;6.181472720592415e-07;4.419437784133369e-07;3.163222505218254e-07;2.698612315120965e-07;3.035821294510091e-07;3.948035494884379e-07;4.868784198417361e-07;5.52110512725701e-07;5.842632641638949e-07;5.87829186583541e-07;5.687581444776975e-07;5.211096933064415e-07;4.4125784586422537e-07;3.499971436096252e-07;2.905070426668653e-07;2.898764094283751e-07;3.281416500033564e-07;5.453694417287055e-07;1.7485697134011546e-06;6.111927265498987e-06;1.833094621886867e-05;4.425537206097215e-05;9.066363424166728e-05;0.00016275062941;0.0002626711198524;0.0003894526304714;0.0005371524269006;0.0006959492728661;0.000853665666639;0.000996419128091;0.0011117355426317;0.0011890786744402;0.0012226370595002;0.0012131456214408;0.001165022924068;0.0010865970092058;0.0009874236779806;0.0008772327375543;0.0007663579210484;0.0006631692025664;0.0005730605815996;0.0004979504524567;0.0004375541277143;0.0003906683624337;0.0003553334961583;0.0003292215795786;0.000310018077399;0.0002954000462545;0.0002838346797315;0.0002740361018958;0.0002654781277877;0.0002579619522142;0.0002515330282683;0.0002460893127506;0.0002414074968797;0.0002371053459528;0.0002326799453377;0.0002276985408679;0.0002222128232411;0.0002160423960833;0.0002094893879236;0.0002036718484639;0.0001992238023708;0.0001957790519212;0.0001933447482627;0.000191839899565;0.0001909787802887;0.0001905648957646;0.0001896472494736;0.000188201734568;0.0001863020154758;0.0001837297652938;0.0001806433595624;0.0001771456626019;0.0001738571056872;0.0001710603968479;0.0001688205485158;0.0001671184864576
142.03071210513372;4.196771338454289e-07;4.929061955421668e-07;5.478579311085067e-07;5.822907347851432e-07;6.033523669052985e-07;6.174948110579138e-07;6.00889294310843e-07;5.541651375355914e-07;4.978726937202688e-07;4.5721414610036716e-07;4.5350623453534826e-07;4.772382125013504e-07;4.928812589108909e-07;5.102541985697894e-07;5.668973319794612e-07;6.558154675571622e-07;7.332588592449012e-07;7.812746688247198e-07;7.978150810205088e-07;7.821366277987166e-07;7.48107426285943e-07;6.922010968920485e-07;5.909412540809651e-07;4.815939961414098e-07;3.8353609912667387e-07;3.2270907643163824e-07;3.225314388327443e-07;4.010878227384944e-07;5.116464006087768e-07;6.163621599245028e-07;6.843666175517948e-07;7.1815193195971e-07;7.093332296626689e-07;6.423549777349765e-07;5.431241911001972e-07;4.370751351677112e-07;3.643951488810798e-07;3.408363114320623e-07;3.806965958320158e-07;6.589570442504238e-07;2.0428532376411235e-06;6.5751561735886205e-06;1.8642870853779573e-05;4.363591677152752e-05;8.851958539298162e-05;0.0001584551967289;0.0002553433229886;0.0003781924275638;0.0005213197725318;0.0006761370161597;0.0008310842181074;0.0009709358198991;0.0010827884867347;0.0011574242340729;0.001190278831619;0.0011822105927676;0.0011370601103248;0.0010620971734703;0.0009665325076291;0.0008604577502528;0.000754158821189;0.0006541870915903;0.0005651262963415;0.0004897911944653;0.0004289654670242;0.0003820967690197;0.0003475471201447;0.0003220370740261;0.0003032540255304;0.0002893000438435;0.000278369842478;0.0002694970627676;0.0002618788246536;0.0002548468551165;0.0002481004042076;0.0002414622962941;0.0002350079990423;0.000228869696605;0.0002232887487873;0.0002177211057968;0.0002124099862512;0.0002075314083621;0.0002030567967216;0.0001991448594081;0.000196138684812;0.0001938143994923;0.0001919217753627;0.0001902280981081;0.0001885602845147;0.0001868370188696;0.0001850480283543;0.0001827317038565;0.0001802322272601;0.00017772724119;0.0001753347538682;0.0001731320551029;0.0001713264035167;0.0001703229120169;0.0001693209857619;0.0001683591644337
144.16858721627432;8.348492740503676e-07;8.277578367041913e-07;7.817546549365774e-07;6.980851267809025e-07;6.230911154603471e-07;5.573079136852946e-07;5.05543008462961e-07;4.779819318228304e-07;4.810276405114258e-07;5.040958527519046e-07;5.265981521744507e-07;5.442896333940173e-07;5.366071843505489e-07;5.020958742746524e-07;4.5824803875932564e-07;4.448833870416213e-07;4.534478849869044e-07;4.741819381181856e-07;5.099098438072679e-07;5.512825963399279e-07;5.870768148429417e-07;6.104006017617021e-07;6.016430319131133e-07;5.558905827093885e-07;4.840514714681119e-07;4.1024923232471043e-07;3.577134113278488e-07;3.568325478150994e-07;4.112902243468348e-07;4.745953035913017e-07;5.291818772328972e-07;5.647480644332977e-07;5.739519646690579e-07;5.496290813293094e-07;4.950334682033446e-07;4.2975756960425173e-07;3.674879624018455e-07;3.187273366506208e-07;3.076453084416957e-07;5.347865007831909e-07;1.8331408326025045e-06;5.95566075831317e-06;1.6604845219031116e-05;3.981526212849657e-05;8.260985677163496e-05;0.0001506930872432;0.0002453783070539;0.0003651600971053;0.000504489192483;0.000656622212882;0.0008101648040906;0.0009488556572834;0.0010586696572947;0.0011309289109718;0.0011618217741195;0.0011527298546322;0.0011076067839585;0.0010333063656897;0.0009390803320422;0.0008356723313006;0.0007335527970845;0.0006379691409656;0.0005521720437883;0.0004796084666835;0.000420827001494;0.0003753095700109;0.0003414167630333;0.0003167793571722;0.00029902163115;0.0002864940703147;0.0002772986229134;0.0002690681710605;0.0002613507302311;0.0002537965492182;0.0002461063018813;0.0002382964832807;0.000230702881489;0.0002237138069361;0.0002176030575019;0.0002123986936798;0.0002075679104218;0.0002031790829741;0.0001993823448088;0.0001963513322348;0.0001934497715684;0.0001912389279705;0.0001894339321531;0.0001875844940651;0.0001855023452197;0.0001833093232649;0.0001811268601708;0.0001790281900622;0.0001769776088012;0.0001752700436416;0.0001740085844536;0.0001732884228092;0.0001731301612547;0.0001733779362726;0.0001737882583954;0.0001741184069617
